"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"623","BDA20_001","BDA","16Schord",TRUE,"Not artefactual",384399,22
"624","BDA20_002","BDA","16Schord",TRUE,"Not artefactual",348353,27
"625","BDA20_003","BDA","16Schord",TRUE,"Not artefactual",362768,21
"626","BDA20_004","BDA","16Schord",TRUE,"Not artefactual",335480,12
"627","BDA20_005","BDA","16Schord",TRUE,"Not artefactual",318955,15
"628","BDA20_006","BDA","16Schord",TRUE,"Not artefactual",367022,27
"629","BDA20_007","BDA","16Schord",TRUE,"Not artefactual",380809,15
"630","BDA20_008","BDA","16Schord",TRUE,"Not artefactual",300456,26
"631","BDA20_009","BDA","16Schord",TRUE,"Not artefactual",424181,16
"632","BDA20_010","BDA","16Schord",TRUE,"Not artefactual",424638,20
"633","BDA20_011","BDA","16Schord",TRUE,"Not artefactual",253668,15
"634","BDA20_012","BDA","16Schord",TRUE,"Not artefactual",416475,23
"635","BDA20_013","BDA","16Schord",TRUE,"Not artefactual",437239,28
"636","BDA20_014","BDA","16Schord",TRUE,"Not artefactual",382130,13
"637","BDA20_015","BDA","16Schord",TRUE,"Not artefactual",147367,11
"638","BDA20_016","BDA","16Schord",TRUE,"Not artefactual",274975,13
"639","BDA20_017","BDA","16Schord",TRUE,"Not artefactual",367062,20
"640","BDA20_018","BDA","16Schord",TRUE,"Not artefactual",330700,26
"641","BDA20_019","BDA","16Schord",TRUE,"Not artefactual",233734,26
"642","BDA20_020","BDA","16Schord",TRUE,"Not artefactual",192516,17
"643","BDA20_021","BDA","16Schord",TRUE,"Not artefactual",41018,4
"644","BDA20_022","BDA","16Schord",TRUE,"Not artefactual",488867,10
"645","BDA20_023","BDA","16Schord",TRUE,"Not artefactual",397288,14
"646","BDA20_024","BDA","16Schord",TRUE,"Not artefactual",334709,13
"647","BDA20_025","BDA","16Schord",TRUE,"Not artefactual",11793,3
"648","BDA20_026","BDA","16Schord",FALSE,"Low sequencing depth",146,1
"649","BDA20_027","BDA","16Schord",FALSE,"Low sequencing depth",607,1
"650","BDA20_028","BDA","16Schord",TRUE,"Not artefactual",44841,5
"651","BDA20_029","BDA","16Schord",TRUE,"Not artefactual",76332,5
"652","BDA20_030","BDA","16Schord",TRUE,"Not artefactual",110514,5
"653","BDA20_031","BDA","16Schord",TRUE,"Not artefactual",31845,3
"654","BDA20_032","BDA","16Schord",FALSE,"Low sequencing depth",206,1
"655","BDA20_033","BDA","16Schord",TRUE,"Not artefactual",413926,26
"656","BDA20_034","BDA","16Schord",TRUE,"Not artefactual",411081,20
"657","BDA20_035","BDA","16Schord",TRUE,"Not artefactual",149667,10
"658","BDA20_036","BDA","16Schord",TRUE,"Not artefactual",342919,24
"659","BDA20_037","BDA","16Schord",TRUE,"Not artefactual",351767,12
"661","BDA20_039","BDA","16Schord",TRUE,"Not artefactual",83645,5
"663","BDA20_041","BDA","16Schord",TRUE,"Not artefactual",3622,11
"664","BDA20_042","BDA","16Schord",TRUE,"Not artefactual",354188,15
"665","BDA20_043","BDA","16Schord",TRUE,"Not artefactual",359346,42
