"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"1442",1442,"BDA20_001","CrA","CrA_ADN1_haut",48.5872747,-63.9115828,NA,NA,25.9,NA,NA,"2020-07-30","BDA","COI"
"1446",1446,"BDA20_002","CrA","CrA_ADN1_fond",48.5872747,-63.9115828,NA,NA,26.9,NA,NA,"2020-07-30","BDA","COI"
"1450",1450,"BDA20_003","CrA","CrA_ADN2_1_haut",48.591036,-63.9207308,NA,NA,31.9,NA,NA,"2020-07-30","BDA","COI"
"1454",1454,"BDA20_004","CrA","CrA_ADN2_1_fond",48.591036,-63.9207308,NA,NA,32.9,NA,NA,"2020-07-30","BDA","COI"
"1458",1458,"BDA20_005","CrA","CrA_ADN2_2_haut",48.5910203,-63.92089,NA,NA,32.3,NA,NA,"2020-07-30","BDA","COI"
"1462",1462,"BDA20_006","CrA","CrA_ADN2_2_fond",48.5910203,-63.92089,NA,NA,33.3,NA,NA,"2020-07-30","BDA","COI"
"1466",1466,"BDA20_007","CrA","CrA_ADN2_3_haut",48.590896,-63.920819,NA,NA,32.4,NA,NA,"2020-07-30","BDA","COI"
"1470",1470,"BDA20_008","CrA","CrA_ADN2_3_fond",48.590896,-63.920819,NA,NA,33.4,NA,NA,"2020-07-30","BDA","COI"
"1474",1474,"BDA20_009","CrA","CrA_ADN3_1_haut",48.5910437,-63.9144968,NA,NA,22.5,NA,NA,"2020-07-30","BDA","COI"
"1478",1478,"BDA20_010","CrA","CrA_ADN3_1_fond",48.5910437,-63.9144968,NA,NA,23.5,NA,NA,"2020-07-30","BDA","COI"
"1482",1482,"BDA20_011","CrA","CrA_ADN3_2_haut",48.5910097,-63.9146917,NA,NA,23.5,NA,NA,"2020-07-30","BDA","COI"
"1486",1486,"BDA20_012","CrA","CrA_ADN3_2_fond",48.5910097,-63.9146917,NA,NA,24.5,NA,NA,"2020-07-30","BDA","COI"
"1490",1490,"BDA20_013","CrA","CrA_ADN3_3_haut",48.5909147,-63.914629,NA,NA,23.5,NA,NA,"2020-07-30","BDA","COI"
"1494",1494,"BDA20_014","CrA","CrA_ADN3_3_fond",48.5909147,-63.914629,NA,NA,24.5,NA,NA,"2020-07-30","BDA","COI"
