"","ESV_MiFishU_1","ESV_MiFishU_2","ESV_MiFishU_3","ESV_MiFishU_5","ESV_MiFishU_7","ESV_MiFishU_8","ESV_MiFishU_9","ESV_MiFishU_10","ESV_MiFishU_12","ESV_MiFishU_14","ESV_MiFishU_16","ESV_MiFishU_20","ESV_MiFishU_21","ESV_MiFishU_25","ESV_MiFishU_27","ESV_MiFishU_33","ESV_MiFishU_37","ESV_MiFishU_45","ESV_MiFishU_46","ESV_MiFishU_49","ESV_MiFishU_58","ESV_MiFishU_59","ESV_MiFishU_64","ESV_MiFishU_75","ESV_MiFishU_79","ESV_MiFishU_88","ESV_MiFishU_90","ESV_MiFishU_98","ESV_MiFishU_111","ESV_MiFishU_122","ESV_MiFishU_130","ESV_MiFishU_139","ESV_MiFishU_141","ESV_MiFishU_149","ESV_MiFishU_152","ESV_MiFishU_156","ESV_MiFishU_160","ESV_MiFishU_163","ESV_MiFishU_164","ESV_MiFishU_167","ESV_MiFishU_171","ESV_MiFishU_175","ESV_MiFishU_176","ESV_MiFishU_188","ESV_MiFishU_196","ESV_MiFishU_201","ESV_MiFishU_202","ESV_MiFishU_208","ESV_MiFishU_211","ESV_MiFishU_219","ESV_MiFishU_220","ESV_MiFishU_224","ESV_MiFishU_229","ESV_MiFishU_230","ESV_MiFishU_235","ESV_MiFishU_243","ESV_MiFishU_246","ESV_MiFishU_248","ESV_MiFishU_249","ESV_MiFishU_251","ESV_MiFishU_253","ESV_MiFishU_256","ESV_MiFishU_268","ESV_MiFishU_272","ESV_MiFishU_288","ESV_MiFishU_291","ESV_MiFishU_292","ESV_MiFishU_294","ESV_MiFishU_297","ESV_MiFishU_299","ESV_MiFishU_300","ESV_MiFishU_301","ESV_MiFishU_307","ESV_MiFishU_315","ESV_MiFishU_317","ESV_MiFishU_321","ESV_MiFishU_333","ESV_MiFishU_339","ESV_MiFishU_341","ESV_MiFishU_351","ESV_MiFishU_354","ESV_MiFishU_363","ESV_MiFishU_364","ESV_MiFishU_365","ESV_MiFishU_367","ESV_MiFishU_368","ESV_MiFishU_369","ESV_MiFishU_373","ESV_MiFishU_376","ESV_MiFishU_384","ESV_MiFishU_386","ESV_MiFishU_391","ESV_MiFishU_392","ESV_MiFishU_393","ESV_MiFishU_394","ESV_MiFishU_404","ESV_MiFishU_410","ESV_MiFishU_414","ESV_MiFishU_416","ESV_MiFishU_419","ESV_MiFishU_438","ESV_MiFishU_441","ESV_MiFishU_442","ESV_MiFishU_444","ESV_MiFishU_451","ESV_MiFishU_472","ESV_MiFishU_476","ESV_MiFishU_477","ESV_MiFishU_501","ESV_MiFishU_508","ESV_MiFishU_519","ESV_MiFishU_522","ESV_MiFishU_524","ESV_MiFishU_525","ESV_MiFishU_534","ESV_MiFishU_539","ESV_MiFishU_545","ESV_MiFishU_571","ESV_MiFishU_572","ESV_MiFishU_573","ESV_MiFishU_574","ESV_MiFishU_580","ESV_MiFishU_581","ESV_MiFishU_588","ESV_MiFishU_597","ESV_MiFishU_602","ESV_MiFishU_617","ESV_MiFishU_625","ESV_MiFishU_634","ESV_MiFishU_641","ESV_MiFishU_651","ESV_MiFishU_660","ESV_MiFishU_664","ESV_MiFishU_674","ESV_MiFishU_678","ESV_MiFishU_688","ESV_MiFishU_690","ESV_MiFishU_696","ESV_MiFishU_705","ESV_MiFishU_713","ESV_MiFishU_722","ESV_MiFishU_723","ESV_MiFishU_733","ESV_MiFishU_737","ESV_MiFishU_747","ESV_MiFishU_754","ESV_MiFishU_764","ESV_MiFishU_770","ESV_MiFishU_773","ESV_MiFishU_789","ESV_MiFishU_807","ESV_MiFishU_815","ESV_MiFishU_845","ESV_MiFishU_855","ESV_MiFishU_901","ESV_MiFishU_906","ESV_MiFishU_913","ESV_MiFishU_914","ESV_MiFishU_919","ESV_MiFishU_922","ESV_MiFishU_930","ESV_MiFishU_950","ESV_MiFishU_954","ESV_MiFishU_967","ESV_MiFishU_983","ESV_MiFishU_985","ESV_MiFishU_993","ESV_MiFishU_1001","ESV_MiFishU_1002","ESV_MiFishU_1005","ESV_MiFishU_1006","ESV_MiFishU_1009","ESV_MiFishU_1010","ESV_MiFishU_1013","ESV_MiFishU_1019","ESV_MiFishU_1020","ESV_MiFishU_1029","ESV_MiFishU_1032","ESV_MiFishU_1038","ESV_MiFishU_1057","ESV_MiFishU_1062","ESV_MiFishU_1075","ESV_MiFishU_1096","ESV_MiFishU_1099","ESV_MiFishU_1104","ESV_MiFishU_1123","ESV_MiFishU_1126","ESV_MiFishU_1127","ESV_MiFishU_1142","ESV_MiFishU_1143","ESV_MiFishU_1181","ESV_MiFishU_1183","ESV_MiFishU_1186","ESV_MiFishU_1204","ESV_MiFishU_1206","ESV_MiFishU_1211","ESV_MiFishU_1226","ESV_MiFishU_1227","ESV_MiFishU_1228","ESV_MiFishU_1238","ESV_MiFishU_1239","ESV_MiFishU_1242","ESV_MiFishU_1243","ESV_MiFishU_1244","ESV_MiFishU_1258","ESV_MiFishU_1266","ESV_MiFishU_1267","ESV_MiFishU_1282","ESV_MiFishU_1286","ESV_MiFishU_1296","ESV_MiFishU_1300","ESV_MiFishU_1303","ESV_MiFishU_1317","ESV_MiFishU_1327","ESV_MiFishU_1331","ESV_MiFishU_1332","ESV_MiFishU_1338","ESV_MiFishU_1339","ESV_MiFishU_1341","ESV_MiFishU_1343","ESV_MiFishU_1344","ESV_MiFishU_1345","ESV_MiFishU_1352","ESV_MiFishU_1365","ESV_MiFishU_1373","ESV_MiFishU_1379","ESV_MiFishU_1380","ESV_MiFishU_1382","ESV_MiFishU_1392","ESV_MiFishU_1397","ESV_MiFishU_1399","ESV_MiFishU_1416","ESV_MiFishU_1420","ESV_MiFishU_1427","ESV_MiFishU_1429","ESV_MiFishU_1432","ESV_MiFishU_1436","ESV_MiFishU_1441","ESV_MiFishU_1447","ESV_MiFishU_1457","ESV_MiFishU_1467","ESV_MiFishU_1471","ESV_MiFishU_1489","ESV_MiFishU_1492","ESV_MiFishU_1506","ESV_MiFishU_1509","ESV_MiFishU_1510","ESV_MiFishU_1525","ESV_MiFishU_1529","ESV_MiFishU_1532","ESV_MiFishU_1535","ESV_MiFishU_1542","ESV_MiFishU_1562","ESV_MiFishU_1575","ESV_MiFishU_1584","ESV_MiFishU_1591","ESV_MiFishU_1602","ESV_MiFishU_1603","ESV_MiFishU_1609","ESV_MiFishU_1625","ESV_MiFishU_1631","ESV_MiFishU_1647","ESV_MiFishU_1677","ESV_MiFishU_1708","ESV_MiFishU_1710"
"BDA20_002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_003",28630,0,18134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_004",160729,0,182489,0,0,0,0,0,0,0,0,0,0,0,0,64992,0,0,0,3708,0,0,0,0,0,0,11168,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,202,0,249,0,0,0,0,0,0,0,0,0,0,0,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"BDA20_005",516060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,1844,256,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,324,0,0,166,0,0,0,0,164,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_007",197445,0,18090,0,117,0,0,0,0,303705,0,0,0,0,0,0,0,45311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5687,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,143,135,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,121,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_008",285984,0,161145,0,0,0,0,0,0,0,0,84812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,4243,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
"BDA20_009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_010",39238,0,5751,0,0,0,0,0,0,1740,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_012",59017,0,7367,0,0,0,0,0,0,5484,0,0,0,0,0,0,0,7557,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
