"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"1447",1447,"BDA20_002","CrA","CrA_ADN1_fond",48.5872747,-63.9115828,NA,NA,26.9,NA,NA,"2020-07-30","BDA","MiFishU"
"1451",1451,"BDA20_003","CrA","CrA_ADN2_1_haut",48.591036,-63.9207308,NA,NA,31.9,NA,NA,"2020-07-30","BDA","MiFishU"
"1455",1455,"BDA20_004","CrA","CrA_ADN2_1_fond",48.591036,-63.9207308,NA,NA,32.9,NA,NA,"2020-07-30","BDA","MiFishU"
"1459",1459,"BDA20_005","CrA","CrA_ADN2_2_haut",48.5910203,-63.92089,NA,NA,32.3,NA,NA,"2020-07-30","BDA","MiFishU"
"1463",1463,"BDA20_006","CrA","CrA_ADN2_2_fond",48.5910203,-63.92089,NA,NA,33.3,NA,NA,"2020-07-30","BDA","MiFishU"
"1467",1467,"BDA20_007","CrA","CrA_ADN2_3_haut",48.590896,-63.920819,NA,NA,32.4,NA,NA,"2020-07-30","BDA","MiFishU"
"1471",1471,"BDA20_008","CrA","CrA_ADN2_3_fond",48.590896,-63.920819,NA,NA,33.4,NA,NA,"2020-07-30","BDA","MiFishU"
"1475",1475,"BDA20_009","CrA","CrA_ADN3_1_haut",48.5910437,-63.9144968,NA,NA,22.5,NA,NA,"2020-07-30","BDA","MiFishU"
"1479",1479,"BDA20_010","CrA","CrA_ADN3_1_fond",48.5910437,-63.9144968,NA,NA,23.5,NA,NA,"2020-07-30","BDA","MiFishU"
"1487",1487,"BDA20_012","CrA","CrA_ADN3_2_fond",48.5910097,-63.9146917,NA,NA,24.5,NA,NA,"2020-07-30","BDA","MiFishU"
"1495",1495,"BDA20_014","CrA","CrA_ADN3_3_fond",48.5909147,-63.914629,NA,NA,24.5,NA,NA,"2020-07-30","BDA","MiFishU"
"1499",1499,"BDA20_015","CrA","CrA_ADN4_haut",48.59083,-63.9087253,NA,NA,28.7,NA,NA,"2020-07-30","BDA","MiFishU"
"1503",1503,"BDA20_016","CrA","CrA_ADN4_fond",48.59083,-63.9087253,NA,NA,29.7,NA,NA,"2020-07-30","BDA","MiFishU"
"1507",1507,"BDA20_017","CrA","CrA_ADN5_haut",48.5944468,-63.923712,NA,NA,23.2,NA,NA,"2020-07-27","BDA","MiFishU"
"1511",1511,"BDA20_018","CrA","CrA_ADN5_fond",48.5944468,-63.923712,NA,NA,24.2,NA,NA,"2020-07-27","BDA","MiFishU"
"1515",1515,"BDA20_019","CrA","CrA_ADN6_haut",48.594705,-63.9179825,NA,NA,20.3,NA,NA,"2020-07-27","BDA","MiFishU"
"1519",1519,"BDA20_020","CrA","CrA_ADN6_fond",48.594705,-63.9179825,NA,NA,21.3,NA,NA,"2020-07-27","BDA","MiFishU"
"1527",1527,"BDA20_022","CrA","CrA_ADN7_fond",48.5946623,-63.9117245,NA,NA,16.5,NA,NA,"2020-07-27","BDA","MiFishU"
"1531",1531,"BDA20_023","CrA","CrA_ADN8_haut",48.5979763,-63.9268033,NA,NA,25.2,NA,NA,"2020-07-27","BDA","MiFishU"
"1535",1535,"BDA20_024","CrA","CrA_ADN8_fond",48.5979763,-63.9268033,NA,NA,26.2,NA,NA,"2020-07-27","BDA","MiFishU"
"1571",1571,"BDA20_033","CrA","CrA_ADN11_1_haut",48.5981108,-63.9089173,NA,NA,27,NA,NA,"2020-07-27","BDA","MiFishU"
"1575",1575,"BDA20_034","CrA","CrA_ADN11_1_fond",48.5981108,-63.9089173,NA,NA,28,NA,NA,"2020-07-27","BDA","MiFishU"
"1579",1579,"BDA20_035","CrA","CrA_ADN11_2_haut",48.5980182,-63.908799,NA,NA,27.1,NA,NA,"2020-07-27","BDA","MiFishU"
"1583",1583,"BDA20_036","CrA","CrA_ADN11_2_fond",48.5980182,-63.908799,NA,NA,28.1,NA,NA,"2020-07-27","BDA","MiFishU"
"1587",1587,"BDA20_037","CrA","CrA_ADN11_3_haut",48.5982067,-63.9089245,NA,NA,27.2,NA,NA,"2020-07-27","BDA","MiFishU"
"1607",1607,"BDA20_042","CrA","CrA_ADN14_haut",48.6013267,-63.912014,NA,NA,24,NA,NA,"2020-07-26","BDA","MiFishU"
"1611",1611,"BDA20_043","CrA","CrA_ADN14_fond",48.6013267,-63.912014,NA,NA,25,NA,NA,"2020-07-26","BDA","MiFishU"
"1615",1615,"BDA20_044","CrA","CrA_ADN15_haut",48.6031357,-63.92766,NA,NA,21.5,NA,NA,"2020-07-26","BDA","MiFishU"
"1619",1619,"BDA20_045","CrA","CrA_ADN15_fond",48.6031357,-63.92766,NA,NA,22.5,NA,NA,"2020-07-26","BDA","MiFishU"
"1623",1623,"BDA20_046","CrA","CrA_ADN16_haut",48.6045005,-63.9216108,NA,NA,21,NA,NA,"2020-07-26","BDA","MiFishU"
"1627",1627,"BDA20_047","CrA","CrA_ADN16_fond",48.6045005,-63.9216108,NA,NA,22,NA,NA,"2020-07-26","BDA","MiFishU"
"1631",1631,"BDA20_048","CrA","CrA_ADN17_haut",48.604629,-63.9152497,NA,NA,25.2,NA,NA,"2020-07-26","BDA","MiFishU"
"1635",1635,"BDA20_049","CrA","CrA_ADN17_fond",48.604629,-63.9152497,NA,NA,26.2,NA,NA,"2020-07-26","BDA","MiFishU"
"1643",1643,"BDA20_051","CrA","CrA_ADN18_fond",48.6083948,-63.9303452,NA,NA,27.6,NA,NA,"2020-07-27","BDA","MiFishU"
"1647",1647,"BDA20_052","CrA","CrA_ADN19_1_haut",48.6084645,-63.9241848,NA,NA,25.7,NA,NA,"2020-07-27","BDA","MiFishU"
"1651",1651,"BDA20_053","CrA","CrA_ADN19_1_fond",48.6084645,-63.9241848,NA,NA,26.7,NA,NA,"2020-07-27","BDA","MiFishU"
"1655",1655,"BDA20_054","CrA","CrA_ADN19_2_haut",48.6084008,-63.9242522,NA,NA,25.8,NA,NA,"2020-07-27","BDA","MiFishU"
"1659",1659,"BDA20_055","CrA","CrA_ADN19_2_fond",48.6084008,-63.9242522,NA,NA,26.8,NA,NA,"2020-07-27","BDA","MiFishU"
"1667",1667,"BDA20_057","CrA","CrA_ADN19_3_fond",48.6083855,-63.9242502,NA,NA,26.8,NA,NA,"2020-07-27","BDA","MiFishU"
"1671",1671,"BDA20_058","CrA","CrA_ADN20_haut",48.6084278,-63.9180895,NA,NA,28.6,NA,NA,"2020-07-30","BDA","MiFishU"
"1675",1675,"BDA20_059","CrA","CrA_ADN20_fond",48.6084278,-63.9180895,NA,NA,29.6,NA,NA,"2020-07-30","BDA","MiFishU"
"1679",1679,"BDA20_060","CrB","CrB_ADN1_haut",48.528476,-63.8501073,NA,NA,57.7,NA,NA,"2020-07-31","BDA","MiFishU"
"1683",1683,"BDA20_061","CrB","CrB_ADN1_fond",48.528476,-63.8501073,NA,NA,58.7,NA,NA,"2020-07-31","BDA","MiFishU"
"1687",1687,"BDA20_062","CrB","CrB_ADN3_haut",48.5179513,-63.8263692,NA,NA,58.6,NA,NA,"2020-07-31","BDA","MiFishU"
"1695",1695,"BDA20_064","CrB","CrB_ADN4_haut",48.5424143,-63.9418967,NA,NA,53.4,NA,NA,"2020-07-31","BDA","MiFishU"
"1699",1699,"BDA20_065","CrB","CrB_ADN4_fond",48.5424143,-63.9418967,NA,NA,54.4,NA,NA,"2020-07-31","BDA","MiFishU"
"1707",1707,"BDA20_067","CrB","CrB_ADN5_fond",48.6760543,-64.0288163,NA,NA,38.3,NA,NA,"2020-07-30","BDA","MiFishU"
"1711",1711,"BDA20_068","CrB","CrB_ADN10_haut",48.6410495,-63.9858328,NA,NA,50.9,NA,NA,"2020-07-30","BDA","MiFishU"
"1719",1719,"BDA20_070","CrB","CrB_ADN11_haut",48.6120723,-63.9435982,NA,NA,34.4,NA,NA,"2020-07-30","BDA","MiFishU"
"1723",1723,"BDA20_071","CrB","CrB_ADN11_fond",48.6120723,-63.9435982,NA,NA,35.4,NA,NA,"2020-07-30","BDA","MiFishU"
"1727",1727,"BDA20_072","CrB","CrB_ADN12_haut",48.6930478,-64.0629088,NA,NA,45,NA,NA,"2020-07-30","BDA","MiFishU"
"1731",1731,"BDA20_073","CrB","CrB_ADN12_fond",48.6930478,-64.0629088,NA,NA,46,NA,NA,"2020-07-30","BDA","MiFishU"
"1735",1735,"BDA20_074","CrB","CrB_ADN18_haut",48.6182613,-63.9418905,NA,NA,35.7,NA,NA,"2020-07-30","BDA","MiFishU"
"1739",1739,"BDA20_075","CrB","CrB_ADN18_fond",48.6182613,-63.9418905,NA,NA,36.7,NA,NA,"2020-07-30","BDA","MiFishU"
"1743",1743,"BDA20_076","CrB",NA,48.5373838,-63.8724842,NA,NA,NA,NA,NA,"2020-07-31","BDA","MiFishU"
"1747",1747,"BDA20_077","CrB",NA,48.5373838,-63.8724842,NA,NA,NA,NA,NA,"2020-07-31","BDA","MiFishU"
"1759",1759,"BDA20_080","CrC","CrC_ADN1_haut",48.6263498,-64.1128945,NA,NA,52,NA,NA,"2020-08-01","BDA","MiFishU"
"1767",1767,"BDA20_082","CrC","CrC_ADN2_haut",48.615831,-64.1040857,NA,NA,45.2,NA,NA,"2020-08-01","BDA","MiFishU"
"1771",1771,"BDA20_083","CrC","CrC_ADN2_fond",48.615831,-64.1040857,NA,NA,46.2,NA,NA,"2020-08-01","BDA","MiFishU"
"1775",1775,"BDA20_084","CrC","CrC_ADN3_haut",48.6079392,-64.1082828,NA,NA,35.4,NA,NA,"2020-08-01","BDA","MiFishU"
"1779",1779,"BDA20_085","CrC","CrC_ADN3_fond",48.6079392,-64.1082828,NA,NA,36.4,NA,NA,"2020-08-01","BDA","MiFishU"
"1791",1791,"BDA20_088","CrC","CrC_ADN15_haut",48.6202243,-64.1285237,NA,NA,38,NA,NA,"2020-08-01","BDA","MiFishU"
"1795",1795,"BDA20_089","CrC","CrC_ADN15_fond",48.6202243,-64.1285237,NA,NA,39,NA,NA,"2020-08-01","BDA","MiFishU"
