"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"1","PPO20_197","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",399256,20
"2","PPO20_198","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",381416,26
"3","PPO20_199","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",312810,28
"4","PPO20_200","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",436148,51
"5","PPO20_201","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",263644,19
"6","PPO20_202","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",351176,17
"7","PPO20_203","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",333832,38
"8","PPO20_204","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",281035,19
"9","PPO20_205","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",425464,41
"10","PPO20_206","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",397136,31
"11","PPO20_207","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",474808,43
"12","PPO20_209","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",472262,35
"13","PPO20_210","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",375388,27
"14","PPO20_211","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",302735,44
"15","PPO20_212","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",430723,30
"16","PPO20_213","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",398103,30
"17","PPO20_214","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",347911,32
"18","PPO20_215","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",460796,36
"19","PPO20_216","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",359929,40
"20","PPO20_217","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",285865,24
"21","PPO20_218","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",329863,24
"22","PPO20_219","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",425929,29
"23","PPO20_220","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",395508,29
"24","PPO20_221","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",348230,39
"25","PPO20_222","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",451788,44
"26","PPO20_223","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",385454,54
"27","PPO20_224","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",392663,43
"28","PPO20_225","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",479730,19
"29","PPO20_226","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",396324,39
"30","PPO20_227","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",365408,24
"31","PPO20_228","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",512385,43
"32","PPO20_229","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",484315,53
"33","PPO20_230","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",482759,27
"34","PPO20_231","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",434396,37
"35","PPO20_232","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",350612,27
"36","ADE_21_00397","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",28769,180
"37","ADE_21_00398","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",48696,267
"38","ADE_21_00399","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22283,157
"39","ADE_21_00400","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",28562,162
"40","ADE_21_00401","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",20793,226
"41","ADE_21_00402","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",13759,186
"42","ADE_21_00403","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",28552,234
"43","ADE_21_00404","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",23788,292
"44","ADE_21_00405","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",7990,152
"45","ADE_21_00407","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29478,226
"46","ADE_21_00408","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18722,191
"47","ADE_21_00409","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",23872,127
"48","ADE_21_00410","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",14668,192
"49","ADE_21_00411","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",33640,190
"50","ADE_21_00412","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26065,186
"51","ADE_21_00413","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",67484,130
"52","ADE_21_00414","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",24120,119
"53","ADE_21_00415","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22620,248
"54","ADE_21_00417","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29184,131
"55","ADE_21_00418","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26227,247
"56","ADE_21_00419","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22850,221
"57","ADE_21_00420","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",14662,153
"58","ADE_21_00421","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",25008,250
"59","ADE_21_00422","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26802,256
"60","ADE_21_00423","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",17794,274
"61","ADE_21_00424","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18481,184
