"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"1","PPO20_197","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1708,33
"2","PPO20_198","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",748,27
"3","PPO20_199","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",709,16
"4","PPO20_200","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",691,18
"5","PPO20_201","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",954,21
"6","PPO20_202","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",954,27
"7","PPO20_203","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1708,39
"8","PPO20_204","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",806,23
"9","PPO20_205","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1303,33
"10","PPO20_206","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1691,35
"11","PPO20_207","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1443,30
"12","PPO20_209","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1114,31
"13","PPO20_210","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",391,12
"14","PPO20_211","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1003,31
"15","PPO20_212","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",903,22
"16","PPO20_213","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",752,20
"17","PPO20_214","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1406,38
"18","PPO20_215","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1568,32
"19","PPO20_216","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1147,30
"20","PPO20_217","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1072,28
"21","PPO20_218","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",469,16
"22","PPO20_219","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1203,30
