"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"1","PPO20_199","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",27,4
"2","PPO20_200","PPO.KMcGregor.2020","MiFishU",TRUE,"Not artefactual",230377,13
"3","PPO20_202","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",58,2
"4","PPO20_203","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",64,1
"5","PPO20_204","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",35,2
"6","PPO20_207","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",318,1
"7","PPO20_209","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",55,1
"8","PPO20_210","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",59,1
"9","PPO20_211","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",53,1
"10","PPO20_212","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",54,1
"11","PPO20_213","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",57,1
"12","PPO20_214","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",63,1
"13","PPO20_215","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",497,1
"14","PPO20_216","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",384,2
"15","PPO20_218","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",35,2
"16","PPO20_219","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",123,2
"17","PPO20_220","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",67,2
"18","PPO20_221","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",69,1
"19","PPO20_224","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",42,1
"20","PPO20_225","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",57,1
"21","PPO20_227","PPO.KMcGregor.2020","MiFishU",FALSE,"Low sequencing depth",24,1
