"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"776","ADE_21_00397","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",28769,180
"777","ADE_21_00398","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",48696,267
"778","ADE_21_00399","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22283,157
"779","ADE_21_00400","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",28562,162
"780","ADE_21_00401","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",20793,226
"781","ADE_21_00402","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",13759,186
"782","ADE_21_00403","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",28552,234
"783","ADE_21_00404","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",23788,292
"784","ADE_21_00405","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",7990,152
"785","ADE_21_00407","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29478,226
"786","ADE_21_00408","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18722,191
"787","ADE_21_00409","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",23872,127
"788","ADE_21_00410","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",14668,192
"789","ADE_21_00411","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",33640,190
"790","ADE_21_00412","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26065,186
"791","ADE_21_00413","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",67484,130
"792","ADE_21_00414","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",24120,119
"793","ADE_21_00415","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22620,248
"795","ADE_21_00417","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",29184,131
"796","ADE_21_00418","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26227,247
"797","ADE_21_00419","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",22850,221
"798","ADE_21_00420","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",14662,153
"799","ADE_21_00421","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",25008,250
"800","ADE_21_00422","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26802,256
"801","ADE_21_00423","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",17794,274
"802","ADE_21_00424","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18481,184
"803","ADE_21_00425","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",17407,186
"804","ADE_21_00426","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",16876,172
"805","ADE_21_00427","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",27204,217
"806","ADE_21_00428","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18118,137
"808","ADE_21_00430","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",46045,231
"809","ADE_21_00431","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",24935,161
"810","ADE_21_00432","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",26453,186
"811","ADE_21_00433","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",20359,255
"812","ADE_21_00434","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",42954,134
"813","ADE_21_00435","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",38501,154
"814","ADE_21_00436","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",31129,116
"815","ADE_21_00437","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",41004,107
"816","ADE_21_00438","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",36690,122
"817","ADE_21_00439","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",52736,130
"818","ADE_21_00440","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",46860,220
"819","ADE_21_00441","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",33067,218
"820","ADE_21_00442","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",55352,116
"821","ADE_21_00443","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",43689,122
"822","ADE_21_00444","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",47007,189
"823","ADE_21_00445","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",20313,165
"824","ADE_21_00446","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",30907,140
"825","ADE_21_00447","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",20959,90
"826","ADE_21_00448","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",17536,85
"828","ADE_21_00450","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",18374,92
"829","ADE_21_00451","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",38862,104
"830","ADE_21_00452","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",31048,156
"831","ADE_21_00453","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",37228,207
"832","ADE_21_00454","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",37615,199
"833","ADE_21_00456","PPO.Godbout.2021","16Schord",TRUE,"Not artefactual",49178,207
