"","ESV_COI_1","ESV_COI_2","ESV_COI_12","ESV_COI_23","ESV_COI_25","ESV_COI_26","ESV_COI_43","ESV_COI_45","ESV_COI_84","ESV_COI_89","ESV_COI_96","ESV_COI_155","ESV_COI_165","ESV_COI_215","ESV_COI_263","ESV_COI_280","ESV_COI_442","ESV_COI_443","ESV_COI_445","ESV_COI_478","ESV_COI_597","ESV_COI_604","ESV_COI_680","ESV_COI_801","ESV_COI_866","ESV_COI_952","ESV_COI_1182","ESV_COI_1212","ESV_COI_1231","ESV_COI_1275","ESV_COI_1295","ESV_COI_1468","ESV_COI_1505","ESV_COI_1542","ESV_COI_1765","ESV_COI_1948","ESV_COI_2021","ESV_COI_2069","ESV_COI_2191","ESV_COI_2196","ESV_COI_2295","ESV_COI_2423","ESV_COI_2494","ESV_COI_2755","ESV_COI_2875","ESV_COI_3053","ESV_COI_3111","ESV_COI_3203","ESV_COI_3497","ESV_COI_3640","ESV_COI_3816","ESV_COI_3871","ESV_COI_4416","ESV_COI_4441","ESV_COI_4474","ESV_COI_4536","ESV_COI_4603","ESV_COI_4640","ESV_COI_4786","ESV_COI_4812","ESV_COI_4841","ESV_COI_5031","ESV_COI_5058","ESV_COI_5152","ESV_COI_5255","ESV_COI_5371","ESV_COI_5383","ESV_COI_5450","ESV_COI_5467","ESV_COI_5513","ESV_COI_5565","ESV_COI_5635","ESV_COI_5642","ESV_COI_5653","ESV_COI_5677","ESV_COI_5690","ESV_COI_5758","ESV_COI_5762","ESV_COI_5766","ESV_COI_5836","ESV_COI_5840","ESV_COI_5877","ESV_COI_5880","ESV_COI_5930","ESV_COI_5993","ESV_COI_6014","ESV_COI_6028","ESV_COI_6041","ESV_COI_6084","ESV_COI_6130","ESV_COI_6132","ESV_COI_6138","ESV_COI_6146","ESV_COI_6164","ESV_COI_6165","ESV_COI_6166","ESV_COI_6167","ESV_COI_6174","ESV_COI_6183","ESV_COI_6221","ESV_COI_6246","ESV_COI_6263","ESV_COI_6280","ESV_COI_6281","ESV_COI_6282","ESV_COI_6289","ESV_COI_6304","ESV_COI_6307","ESV_COI_6313","ESV_COI_6317","ESV_COI_6341","ESV_COI_6344","ESV_COI_6347","ESV_COI_6371","ESV_COI_6375","ESV_COI_6396","ESV_COI_6400","ESV_COI_6401","ESV_COI_6406","ESV_COI_6409","ESV_COI_6429","ESV_COI_6437","ESV_COI_6438","ESV_COI_6441","ESV_COI_6471","ESV_COI_6472","ESV_COI_6476","ESV_COI_6478","ESV_COI_6480","ESV_COI_6481","ESV_COI_6486","ESV_COI_6488","ESV_COI_6489","ESV_COI_6490","ESV_COI_6491","ESV_COI_6497","ESV_COI_6498","ESV_COI_6499","ESV_COI_6539","ESV_COI_6542","ESV_COI_6543","ESV_COI_6546","ESV_COI_6547","ESV_COI_6548","ESV_COI_6550","ESV_COI_6551","ESV_COI_6554","ESV_COI_6556","ESV_COI_6558","ESV_COI_6560","ESV_COI_6563","ESV_COI_6564","ESV_COI_6568","ESV_COI_6569","ESV_COI_6571","ESV_COI_6573","ESV_COI_6579"
"ADE_21_00397",110,101,132,20,0,39,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00398",23,13,0,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00399",221,103,0,75,0,0,19,0,0,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00400",412,153,0,45,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00401",684,486,0,165,0,94,32,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00402",20,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00403",575,257,0,286,0,56,113,0,0,0,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00404",976,620,0,236,0,146,63,0,0,22,49,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,23,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00407",222,148,76,51,0,32,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,34,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00408",91,47,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
