"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"154","ADE_21_00397","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6318,77
"155","ADE_21_00398","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3424,17
"156","ADE_21_00399","PPO.Godbout.2021","COI",TRUE,"Not artefactual",2618,18
"157","ADE_21_00400","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4064,23
"158","ADE_21_00401","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3576,16
"159","ADE_21_00402","PPO.Godbout.2021","COI",TRUE,"Not artefactual",2253,12
"160","ADE_21_00403","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4657,26
"161","ADE_21_00404","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6524,37
"163","ADE_21_00407","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3465,23
"164","ADE_21_00408","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5589,17
"165","ADE_21_00409","PPO.Godbout.2021","COI",TRUE,"Not artefactual",11072,89
"166","ADE_21_00410","PPO.Godbout.2021","COI",TRUE,"Not artefactual",7090,43
"167","ADE_21_00411","PPO.Godbout.2021","COI",TRUE,"Not artefactual",1362,8
"168","ADE_21_00412","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4743,22
"169","ADE_21_00413","PPO.Godbout.2021","COI",TRUE,"Not artefactual",8332,50
"170","ADE_21_00414","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6455,82
"171","ADE_21_00415","PPO.Godbout.2021","COI",TRUE,"Not artefactual",2492,11
"172","ADE_21_00416","PPO.Godbout.2021","COI",TRUE,"Not artefactual",2330,28
"173","ADE_21_00417","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4645,24
"174","ADE_21_00418","PPO.Godbout.2021","COI",TRUE,"Not artefactual",7892,38
"176","ADE_21_00420","PPO.Godbout.2021","COI",TRUE,"Not artefactual",955,9
"177","ADE_21_00421","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3088,16
"178","ADE_21_00422","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6300,30
