"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"741","PPO20_197","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",399256,20
"742","PPO20_198","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",381416,26
"743","PPO20_199","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",312810,28
"744","PPO20_200","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",436148,51
"745","PPO20_201","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",263644,19
"746","PPO20_202","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",351176,17
"747","PPO20_203","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",333832,38
"748","PPO20_204","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",281035,19
"749","PPO20_205","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",425464,41
"750","PPO20_206","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",397136,31
"751","PPO20_207","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",474808,43
"752","PPO20_209","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",472262,35
"753","PPO20_210","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",375388,27
"754","PPO20_211","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",302735,44
"755","PPO20_212","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",430723,30
"756","PPO20_213","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",398103,30
"757","PPO20_214","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",347911,32
"758","PPO20_215","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",460796,36
"759","PPO20_216","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",359929,40
"760","PPO20_217","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",285865,24
"761","PPO20_218","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",329863,24
"762","PPO20_219","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",425929,29
"763","PPO20_220","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",395508,29
"764","PPO20_221","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",348230,39
"765","PPO20_222","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",451788,44
"766","PPO20_223","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",385454,54
"767","PPO20_224","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",392663,43
"768","PPO20_225","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",479730,19
"769","PPO20_226","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",396324,39
"770","PPO20_227","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",365408,24
"771","PPO20_228","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",512385,43
"772","PPO20_229","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",484315,53
"773","PPO20_230","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",482759,27
"774","PPO20_231","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",434396,37
"775","PPO20_232","PPO.KMcGregor.2020","16Schord",TRUE,"Not artefactual",350612,27
