"","ESV_COI_1","ESV_COI_2","ESV_COI_5","ESV_COI_7","ESV_COI_8","ESV_COI_9","ESV_COI_10","ESV_COI_11","ESV_COI_12","ESV_COI_14","ESV_COI_15","ESV_COI_16","ESV_COI_17","ESV_COI_19","ESV_COI_20","ESV_COI_21","ESV_COI_25","ESV_COI_26","ESV_COI_28","ESV_COI_29","ESV_COI_31","ESV_COI_33","ESV_COI_40","ESV_COI_46","ESV_COI_52","ESV_COI_53","ESV_COI_55","ESV_COI_56","ESV_COI_58","ESV_COI_59","ESV_COI_62","ESV_COI_63","ESV_COI_64","ESV_COI_67","ESV_COI_68","ESV_COI_69","ESV_COI_70","ESV_COI_71","ESV_COI_72","ESV_COI_74","ESV_COI_75","ESV_COI_76","ESV_COI_83","ESV_COI_85","ESV_COI_92","ESV_COI_97","ESV_COI_98","ESV_COI_99","ESV_COI_101","ESV_COI_105","ESV_COI_106","ESV_COI_112","ESV_COI_113","ESV_COI_118","ESV_COI_121","ESV_COI_123","ESV_COI_124","ESV_COI_125","ESV_COI_127","ESV_COI_132","ESV_COI_135","ESV_COI_137","ESV_COI_139","ESV_COI_140","ESV_COI_141","ESV_COI_142","ESV_COI_145","ESV_COI_150","ESV_COI_155","ESV_COI_163","ESV_COI_169","ESV_COI_172","ESV_COI_174","ESV_COI_177","ESV_COI_178","ESV_COI_179","ESV_COI_181","ESV_COI_185","ESV_COI_186","ESV_COI_192","ESV_COI_194","ESV_COI_196","ESV_COI_204","ESV_COI_212","ESV_COI_223","ESV_COI_224","ESV_COI_236","ESV_COI_238","ESV_COI_239","ESV_COI_240","ESV_COI_241","ESV_COI_242","ESV_COI_247","ESV_COI_257","ESV_COI_262","ESV_COI_265","ESV_COI_269","ESV_COI_273","ESV_COI_275","ESV_COI_276","ESV_COI_277","ESV_COI_278","ESV_COI_293","ESV_COI_294","ESV_COI_297","ESV_COI_298","ESV_COI_309","ESV_COI_321","ESV_COI_323","ESV_COI_348","ESV_COI_349","ESV_COI_357","ESV_COI_366","ESV_COI_368","ESV_COI_369","ESV_COI_384","ESV_COI_385","ESV_COI_402","ESV_COI_424","ESV_COI_429","ESV_COI_433","ESV_COI_440","ESV_COI_444","ESV_COI_446","ESV_COI_498","ESV_COI_511","ESV_COI_517","ESV_COI_521","ESV_COI_530","ESV_COI_531","ESV_COI_545","ESV_COI_563","ESV_COI_577","ESV_COI_578","ESV_COI_581","ESV_COI_587","ESV_COI_601","ESV_COI_606","ESV_COI_618","ESV_COI_635","ESV_COI_636","ESV_COI_653","ESV_COI_698","ESV_COI_703","ESV_COI_716","ESV_COI_727","ESV_COI_728","ESV_COI_769","ESV_COI_793","ESV_COI_824","ESV_COI_825","ESV_COI_826","ESV_COI_844","ESV_COI_889","ESV_COI_890","ESV_COI_891","ESV_COI_899","ESV_COI_959","ESV_COI_960","ESV_COI_961","ESV_COI_962","ESV_COI_963","ESV_COI_964","ESV_COI_1023","ESV_COI_1024","ESV_COI_1025","ESV_COI_1026","ESV_COI_1027","ESV_COI_1028","ESV_COI_1029","ESV_COI_1030","ESV_COI_1070","ESV_COI_1071","ESV_COI_1072","ESV_COI_1073","ESV_COI_1074","ESV_COI_1075"
"PPO20_197",819,113,55,9,99,39,20,20,0,9,17,0,103,0,88,23,0,6,0,17,29,0,0,49,0,0,0,0,0,12,0,23,0,0,33,0,0,0,0,5,0,7,0,0,0,0,0,10,0,0,0,0,10,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_198",306,67,23,0,27,9,14,9,0,6,12,0,77,0,46,17,0,9,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_199",366,78,29,0,22,13,8,11,0,0,9,0,58,0,61,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_200",419,49,27,0,17,13,6,14,0,5,9,0,38,0,36,8,0,5,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_201",508,80,24,0,49,20,19,15,0,0,0,0,49,0,40,17,0,10,0,11,15,0,0,36,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_202",468,82,48,0,29,11,17,7,0,0,14,0,65,0,64,23,10,17,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"PPO20_203",678,71,97,0,103,68,50,62,0,0,35,0,41,0,39,60,28,6,29,20,81,0,0,0,0,11,0,0,0,0,0,18,10,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,38,0,0,6,7,8,21,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,0,0,0,15,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_204",435,25,47,0,46,14,29,30,0,6,0,0,0,0,23,32,7,0,0,17,24,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_205",598,45,59,0,104,35,37,45,6,12,10,0,27,0,0,52,20,0,0,27,34,0,0,40,0,0,0,0,0,0,0,0,7,0,10,0,4,0,0,13,0,0,0,0,8,0,0,0,0,0,22,0,0,0,18,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_206",787,53,78,0,79,39,37,66,0,15,17,0,51,0,42,45,20,0,0,40,44,25,0,0,0,0,0,3,22,0,0,0,0,0,20,0,0,0,0,0,0,6,0,0,0,0,0,0,58,10,0,7,0,19,5,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
