"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"119","PPO20_197","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1708,33
"120","PPO20_198","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",748,27
"121","PPO20_199","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",709,16
"122","PPO20_200","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",691,18
"123","PPO20_201","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",954,21
"124","PPO20_202","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",954,27
"125","PPO20_203","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1708,39
"126","PPO20_204","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",806,23
"127","PPO20_205","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1303,33
"128","PPO20_206","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1691,35
"129","PPO20_207","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1443,30
"130","PPO20_209","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1114,31
"131","PPO20_210","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",391,12
"132","PPO20_211","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1003,31
"133","PPO20_212","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",903,22
"134","PPO20_213","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",752,20
"135","PPO20_214","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1406,38
"136","PPO20_215","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1568,32
"137","PPO20_216","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1147,30
"138","PPO20_217","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1072,28
"139","PPO20_218","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",469,16
"140","PPO20_219","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1203,30
"141","PPO20_220","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1030,25
"142","PPO20_221","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1550,36
"143","PPO20_222","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1425,32
"144","PPO20_223","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",600,20
"145","PPO20_224","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",828,28
"146","PPO20_225","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1565,33
"147","PPO20_226","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",711,18
"148","PPO20_227","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",934,28
"149","PPO20_228","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1244,29
"150","PPO20_229","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",650,21
"151","PPO20_230","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1215,35
"152","PPO20_231","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",1604,40
"153","PPO20_232","PPO.KMcGregor.2020","COI",TRUE,"Not artefactual",769,27
