"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"1311",1311,"PPO20_199","Godbout","10M1-c",49.301146036014,-67.6990080066025,"11",2.3,8.7,"4.72","26.85","2020-10-27","PPO.KMcGregor.2020","MiFishU"
"1315",1315,"PPO20_200","Godbout","10M2-a",49.3009970057756,-67.6986400410533,"8.76",2.6,6.16,"5.2","28.58","2020-10-27","PPO.KMcGregor.2020","MiFishU"
"1323",1323,"PPO20_202","Godbout","10M2-c",49.3009970057756,-67.6986400410533,"8.76",2.6,6.16,"5.2","28.58","2020-10-27","PPO.KMcGregor.2020","MiFishU"
"1327",1327,"PPO20_203","Godbout","10M3-a",49.3007440399379,-67.6982149947435,"12.3",2.6,9.7,"5.01","29.2","2020-10-27","PPO.KMcGregor.2020","MiFishU"
"1331",1331,"PPO20_204","Godbout","10M3-b",49.3007440399379,-67.6982149947435,"12.3",2.6,9.7,"5.01","29.2","2020-10-27","PPO.KMcGregor.2020","MiFishU"
"1343",1343,"PPO20_207","Godbout","10M4-b",49.3005299661309,-67.6981089636683,"10.199999999999999",2.6,7.6,"5.12","29.1","2020-10-27","PPO.KMcGregor.2020","MiFishU"
"1347",1347,"PPO20_209","Godbout","6M1-a",49.3023119587451,-67.6992489863187,"3.68",1,2.68,"4.3600000000000003","29.65","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1351",1351,"PPO20_210","Godbout","6M1-b",49.3023119587451,-67.6992489863187,"3.68",1,2.68,"4.3600000000000003","29.65","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1355",1355,"PPO20_211","Godbout","6M1-c",49.3023119587451,-67.6992489863187,"3.68",1,2.68,"4.3600000000000003","29.65","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1359",1359,"PPO20_212","Godbout","6M2-a",49.3022220209241,-67.699025021866,"4.0199999999999996",1,3.02,"4.3099999999999996","29.81","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1363",1363,"PPO20_213","Godbout","6M2-b",49.3022220209241,-67.699025021866,"4.0199999999999996",1,3.02,"4.3099999999999996","29.81","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1367",1367,"PPO20_214","Godbout","6M2-c",49.3022220209241,-67.699025021866,"4.0199999999999996",1,3.02,"4.3099999999999996","29.81","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1371",1371,"PPO20_215","Godbout","6M3-a",49.3021019920707,-67.6986129675061,"5.32",1.6,3.72,"4.13","29.88","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1375",1375,"PPO20_216","Godbout","6M3-b",49.3021019920707,-67.6986129675061,"5.32",1.6,3.72,"4.13","29.88","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1383",1383,"PPO20_218","Godbout","6M4-a",49.3020030017942,-67.6983439922333,"6.11",1.6,4.51,"4.1900000000000004","30.03","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1387",1387,"PPO20_219","Godbout","6M4-b",49.3020030017942,-67.6983439922333,"6.11",1.6,4.51,"4.1900000000000004","30.03","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1391",1391,"PPO20_220","Godbout","6M4-c",49.3020030017942,-67.6983439922333,"6.11",1.6,4.51,"4.1900000000000004","30.03","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1395",1395,"PPO20_221","Godbout","11M1-a",49.3005400244147,-67.6992499921471,"10.71",2.1,8.61,"4.13","30.14","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1407",1407,"PPO20_224","Godbout","11M2-a",49.3004660122097,-67.6989250257611,"12.39",2.1,10.29,"4.12","30.16","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1411",1411,"PPO20_225","Godbout","11M2-b",49.3004660122097,-67.6989250257611,"12.39",2.1,10.29,"4.12","30.16","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1419",1419,"PPO20_227","Godbout","11M3-a",49.3003380205482,-67.6986859738827,"11.98",2.1,9.88,"4.33","29.8","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1423",1423,"PPO20_228","Godbout","11M3-b",49.3003380205482,-67.6986859738827,"11.98",2.1,9.88,"4.33","29.8","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1427",1427,"PPO20_229","Godbout","11M3-c",49.3003380205482,-67.6986859738827,"11.98",2.1,9.88,"4.33","29.8","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1435",1435,"PPO20_231","Godbout","11M4-b",49.3002569675446,-67.6983480155468,"12.37",2.6,9.77,"4.34","29.7","2020-10-28","PPO.KMcGregor.2020","MiFishU"
"1439",1439,"PPO20_232","Godbout","11M4-c",49.3002569675446,-67.6983480155468,"12.37",2.6,9.77,"4.34","29.7","2020-10-28","PPO.KMcGregor.2020","MiFishU"
