"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"891",891,"PPO20_081","Manicouagan","T01-10-3",49.159,-68.0977,"ND",NA,NA,"ND","ND","2020-08-11","PPO.Kildir.DLevesque.2020","MiFishU"
"899",899,"PPO20_084","Manicouagan","T01-20-2",49.1588,-68.0925,"ND",NA,NA,"ND","ND","2020-08-12","PPO.Kildir.DLevesque.2020","MiFishU"
"915",915,"PPO20_089","Manicouagan","T02-10-3",49.13147,-68.109,"ND",NA,NA,"ND","ND","2020-08-15","PPO.Kildir.DLevesque.2020","MiFishU"
"919",919,"PPO20_090","Manicouagan","T02-20-1",49.1327,-68.103,"ND",NA,NA,"ND","ND","2020-08-15","PPO.Kildir.DLevesque.2020","MiFishU"
"923",923,"PPO20_091","Manicouagan","T02-20-2",49.1327,-68.103,"ND",NA,NA,"ND","ND","2020-08-15","PPO.Kildir.DLevesque.2020","MiFishU"
"927",927,"PPO20_092","Manicouagan","T02-20-3",49.1327,-68.103,"ND",NA,NA,"ND","ND","2020-08-15","PPO.Kildir.DLevesque.2020","MiFishU"
"931",931,"PPO20_094","Manicouagan","T06-20-1",49.0532,-68.23678,"ND",NA,NA,"ND","ND","2020-08-16","PPO.Kildir.DLevesque.2020","MiFishU"
"935",935,"PPO20_095","Manicouagan","T06-20-2",49.0532,-68.23678,"ND",NA,NA,"ND","ND","2020-08-16","PPO.Kildir.DLevesque.2020","MiFishU"
"939",939,"PPO20_096","Manicouagan","T06-20-3",49.0532,-68.23678,"ND",NA,NA,"ND","ND","2020-08-16","PPO.Kildir.DLevesque.2020","MiFishU"
"955",955,"PPO20_101","Manicouagan","T12-20-1",49.0198,-68.4176,"ND",NA,NA,"ND","ND","2020-08-17","PPO.Kildir.DLevesque.2020","MiFishU"
"963",963,"PPO20_103","Manicouagan","T12-20-3",49.0198,-68.4176,"ND",NA,NA,"ND","ND","2020-08-17","PPO.Kildir.DLevesque.2020","MiFishU"
