"","ESV_MiFishU_2","ESV_MiFishU_3","ESV_MiFishU_4","ESV_MiFishU_5","ESV_MiFishU_6","ESV_MiFishU_9","ESV_MiFishU_10","ESV_MiFishU_13","ESV_MiFishU_18","ESV_MiFishU_21","ESV_MiFishU_26","ESV_MiFishU_31","ESV_MiFishU_35","ESV_MiFishU_40","ESV_MiFishU_43","ESV_MiFishU_53","ESV_MiFishU_66","ESV_MiFishU_104","ESV_MiFishU_107","ESV_MiFishU_158","ESV_MiFishU_159","ESV_MiFishU_186","ESV_MiFishU_238","ESV_MiFishU_270","ESV_MiFishU_286","ESV_MiFishU_333","ESV_MiFishU_395","ESV_MiFishU_396","ESV_MiFishU_400","ESV_MiFishU_404","ESV_MiFishU_457","ESV_MiFishU_459","ESV_MiFishU_466","ESV_MiFishU_472","ESV_MiFishU_482","ESV_MiFishU_506","ESV_MiFishU_562","ESV_MiFishU_591","ESV_MiFishU_597","ESV_MiFishU_608","ESV_MiFishU_640","ESV_MiFishU_642","ESV_MiFishU_670","ESV_MiFishU_672","ESV_MiFishU_737","ESV_MiFishU_751","ESV_MiFishU_752","ESV_MiFishU_784","ESV_MiFishU_789","ESV_MiFishU_891","ESV_MiFishU_931","ESV_MiFishU_932","ESV_MiFishU_949","ESV_MiFishU_960","ESV_MiFishU_968","ESV_MiFishU_1018","ESV_MiFishU_1028","ESV_MiFishU_1056","ESV_MiFishU_1061","ESV_MiFishU_1067","ESV_MiFishU_1162","ESV_MiFishU_1168","ESV_MiFishU_1199","ESV_MiFishU_1283","ESV_MiFishU_1289","ESV_MiFishU_1342","ESV_MiFishU_1350","ESV_MiFishU_1359","ESV_MiFishU_1371","ESV_MiFishU_1385","ESV_MiFishU_1425","ESV_MiFishU_1431","ESV_MiFishU_1459","ESV_MiFishU_1470","ESV_MiFishU_1534","ESV_MiFishU_1542","ESV_MiFishU_1583","ESV_MiFishU_1600","ESV_MiFishU_1601","ESV_MiFishU_1623","ESV_MiFishU_1684","ESV_MiFishU_1693","ESV_MiFishU_1703","ESV_MiFishU_1718","ESV_MiFishU_1719"
"PPO20_119",67730,345362,15235,0,10953,0,0,0,0,0,0,31692,0,874,0,0,4,0,0,0,0,2976,0,191,0,398,0,0,0,0,0,0,0,0,0,0,0,0,169,0,87,0,0,0,0,0,0,0,118,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_120",12010,0,31180,0,57093,0,6604,0,0,1673,0,8217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_121",146678,64254,0,159,124952,0,97,0,0,0,0,135968,0,687,73828,42767,0,9504,0,326,509,0,3399,0,0,0,115,138,78,0,0,360,273,0,1207,0,925,0,0,814,658,742,301,675,28,540,156,38,0,385,347,347,0,0,0,278,273,0,253,249,193,189,0,0,139,120,119,117,0,105,90,0,80,0,57,0,0,41,41,0,0,0,0,0,0
"PPO20_127",0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_133",0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"PPO20_146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"PPO20_147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
