"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"1015",1015,"PPO20_119","Baie-Comeau","BCO-009-1",49.28088,-67.99919,"ND",NA,NA,"ND","ND","2020-10-02","PPO.Leim.MJRoux.2020","MiFishU"
"1019",1019,"PPO20_120","Baie-Comeau","BCO-009-2",49.28088,-67.99919,"ND",NA,NA,"ND","ND","2020-10-02","PPO.Leim.MJRoux.2020","MiFishU"
"1023",1023,"PPO20_121","Baie-Comeau","BCO-009-3",49.28088,-67.99919,"ND",NA,NA,"ND","ND","2020-10-02","PPO.Leim.MJRoux.2020","MiFishU"
"1047",1047,"PPO20_127","Baie-Comeau","BCO-009-9",49.28133,-67.99741,"ND",NA,NA,"ND","ND","2020-10-02","PPO.Leim.MJRoux.2020","MiFishU"
"1059",1059,"PPO20_131","Baie-Comeau","BCO-050-3",49.2803,-67.88635,"ND",NA,NA,"ND","ND","2020-10-03","PPO.Leim.MJRoux.2020","MiFishU"
"1067",1067,"PPO20_133","Baie-Comeau","BCO-050-5",49.28109,-67.88924,"ND",NA,NA,"ND","ND","2020-10-03","PPO.Leim.MJRoux.2020","MiFishU"
"1071",1071,"PPO20_134","Baie-Comeau","BCO-050-6",49.28109,-67.88924,"ND",NA,NA,"ND","ND","2020-10-03","PPO.Leim.MJRoux.2020","MiFishU"
"1095",1095,"PPO20_141","Pointe des monts","PDM-002-3",49.31771,-67.41104,"ND",NA,NA,"ND","ND","2020-10-05","PPO.Leim.MJRoux.2020","MiFishU"
"1115",1115,"PPO20_146","Pointe des monts","PDM-002-8",49.31745,-67.40955,"ND",NA,NA,"ND","ND","2020-10-05","PPO.Leim.MJRoux.2020","MiFishU"
"1119",1119,"PPO20_147","Pointe des monts","PDM-002-9",49.31745,-67.40955,"ND",NA,NA,"ND","ND","2020-10-05","PPO.Leim.MJRoux.2020","MiFishU"
"1171",1171,"PPO20_161","Baie-Comeau","BCO-039-4",49.29685,-67.62786,"ND",NA,NA,"ND","ND","2020-10-06","PPO.Leim.MJRoux.2020","MiFishU"
"1183",1183,"PPO20_164","Baie-Comeau","BCO-039-7",49.29782,-67.63277,"ND",NA,NA,"ND","ND","2020-10-06","PPO.Leim.MJRoux.2020","MiFishU"
"1235",1235,"PPO20_179","Forestville","FOR-013-2",48.75285,-68.95145,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1239",1239,"PPO20_180","Forestville","FOR-013-3",48.75285,-68.95145,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1243",1243,"PPO20_181","Forestville","FOR-013-4",48.75449,-68.94922,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1247",1247,"PPO20_182","Forestville","FOR-013-5",48.75449,-68.94922,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1255",1255,"PPO20_184","Forestville","FOR-013-7",48.75161,-68.95157,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1259",1259,"PPO20_185","Forestville","FOR-013-8",48.75161,-68.95157,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1263",1263,"PPO20_186","Forestville","FOR-013-9",48.75161,-68.95157,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1271",1271,"PPO20_188","Portneuf","POR-033-2",48.6418,-69.0429,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1287",1287,"PPO20_192","Portneuf","POR-033-6",48.64363,-69.04153,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1291",1291,"PPO20_193","Portneuf","POR-033-7",48.64115,-69.0439,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
"1299",1299,"PPO20_195","Portneuf","POR-033-9",48.64115,-69.0439,"ND",NA,NA,"ND","ND","2020-10-10","PPO.Leim.MJRoux.2020","MiFishU"
