"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"67","PPO20_119","PPO.Leim.MJRoux.2020","MiFishU",TRUE,"Not artefactual",476119,14
"68","PPO20_120","PPO.Leim.MJRoux.2020","MiFishU",TRUE,"Not artefactual",117215,9
"69","PPO20_121","PPO.Leim.MJRoux.2020","MiFishU",TRUE,"Not artefactual",613599,48
"75","PPO20_127","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",368,2
"78","PPO20_131","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",34,1
"80","PPO20_133","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",122,2
"81","PPO20_134","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",124,2
"87","PPO20_141","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",8,1
"92","PPO20_146","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",6,1
"93","PPO20_147","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",23,1
"106","PPO20_161","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",6,2
"109","PPO20_164","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",41,2
"122","PPO20_179","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",36,2
"123","PPO20_180","PPO.Leim.MJRoux.2020","MiFishU",TRUE,"Not artefactual",23906,4
"124","PPO20_181","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",44,3
"125","PPO20_182","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",62,1
"127","PPO20_184","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",46,1
"128","PPO20_185","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",30,1
"129","PPO20_186","PPO.Leim.MJRoux.2020","MiFishU",TRUE,"Not artefactual",249384,13
"131","PPO20_188","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",20,1
"135","PPO20_192","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",62,1
"136","PPO20_193","PPO.Leim.MJRoux.2020","MiFishU",FALSE,"Low sequencing depth",271,4
"138","PPO20_195","PPO.Leim.MJRoux.2020","MiFishU",TRUE,"Not artefactual",4179,4
