"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"712","PPO20_002","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",240641,26
"713","PPO20_003","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",370729,37
"714","PPO20_004","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",442280,16
"715","PPO20_005","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",283165,38
"716","PPO20_006","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",331575,32
"717","PPO20_008","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",352177,11
"718","PPO20_009","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",362054,63
"719","PPO20_010","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",421917,40
"720","PPO20_011","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",477280,26
"721","PPO20_012","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",372981,20
"722","PPO20_014","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",62638,24
"723","PPO20_015","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",373257,38
"724","PPO20_016","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",375779,30
"725","PPO20_017","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",551478,63
"726","PPO20_018","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",397587,37
"727","PPO20_020","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",141595,42
"728","PPO20_021","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",396540,61
"729","PPO20_022","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",455860,53
"730","PPO20_023","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",437303,20
"731","PPO20_024","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",224068,13
"732","PPO20_025","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",56277,24
"733","PPO20_026","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",360069,24
"735","PPO20_028","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",102315,28
"736","PPO20_029","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",394886,20
"737","PPO20_030","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",314763,9
"738","PPO20_031","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",404553,43
"739","PPO20_032","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",467457,27
"740","PPO20_033","PPO.Leim.VRoy.2019","16Schord",TRUE,"Not artefactual",367230,28
