"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"634",634,"PPO20_002","Baie-Comeau","BCO-010",49.12276,-68.11201,"9.42",2.4,7.02,"4.17","29.09","2019-07-30","PPO.Leim.VRoy.2019","COI"
"638",638,"PPO20_003","Baie-Comeau","BCO-020",49.12202,-68.10879,"24.78",2.4,22.38,"2.7","30.56","2019-07-30","PPO.Leim.VRoy.2019","COI"
"642",642,"PPO20_004","Baie-Comeau","BCO-030",49.12241,-68.10472,"33.21",1.9,31.31,"2.46","30.87","2019-07-30","PPO.Leim.VRoy.2019","COI"
"646",646,"PPO20_005","Baie-Comeau","BCO-040",49.12239,-68.09857,"43.12",1.9,41.22,"1.46","31.37","2019-07-30","PPO.Leim.VRoy.2019","COI"
"650",650,"PPO20_006","Baie-Comeau","BCO-050",49.1225,-68.0929,"52.54",1.9,50.64,"1.18","31.5","2019-07-30","PPO.Leim.VRoy.2019","COI"
"654",654,"PPO20_008","Manicouagan","MAN-010",49.05779,-68.25993,"12.39",2.6,9.79,"5.16","28.68","2019-07-31","PPO.Leim.VRoy.2019","COI"
"658",658,"PPO20_009","Manicouagan","MAN-020",49.05589,-68.26065,"20.32",2.6,17.72,"2.63","30.29","2019-07-31","PPO.Leim.VRoy.2019","COI"
"662",662,"PPO20_010","Manicouagan","MAN-030",49.05165,-68.26106,"31.72",2.9,28.82,"1.95","30.96","2019-07-31","PPO.Leim.VRoy.2019","COI"
"666",666,"PPO20_011","Manicouagan","MAN-040",49.04627,-68.26135,"43.12",2.9,40.22,"1.1499999999999999","31.51","2019-07-31","PPO.Leim.VRoy.2019","COI"
"670",670,"PPO20_012","Manicouagan","MAN-050",49.04071,-68.26115,"52.54",2.9,49.64,"0.85","31.69","2019-07-31","PPO.Leim.VRoy.2019","COI"
"674",674,"PPO20_014","Godbout","GOD-010",49.30265,-67.71803,"12.39",0.7,11.69,"5.69","28.65","2019-08-01","PPO.Leim.VRoy.2019","COI"
"678",678,"PPO20_015","Godbout","GOD-020",49.30019,-67.71866,"23.79",1.3,22.49,"3.95","30.11","2019-08-01","PPO.Leim.VRoy.2019","COI"
"682",682,"PPO20_016","Godbout","GOD-030",49.29815,-67.71874,"34.200000000000003",1.3,32.9,"3.12","30.91","2019-08-01","PPO.Leim.VRoy.2019","COI"
"686",686,"PPO20_017","Godbout","GOD-040",49.29548,-67.71867,"43.12",2,41.12,"2.35","31.2","2019-08-01","PPO.Leim.VRoy.2019","COI"
"690",690,"PPO20_018","Godbout","GOD-050",49.29131,-67.71935,"53.53",2,51.53,"1.81","31.38","2019-08-01","PPO.Leim.VRoy.2019","COI"
"694",694,"PPO20_020","Forestville","FOR-010",48.6465666666667,-69.0505166666667,"10.41",1.4,9.01,"3.55","29.92","2019-08-05","PPO.Leim.VRoy.2019","COI"
"698",698,"PPO20_021","Forestville","FOR-020",48.6474,-69.0462833333333,"15.86",1.4,14.46,"1.93","30.98","2019-08-05","PPO.Leim.VRoy.2019","COI"
"702",702,"PPO20_022","Forestville","FOR-030",48.6473166666667,-69.0435166666667,"33.21",1.4,31.81,"1.06","31.53","2019-08-05","PPO.Leim.VRoy.2019","COI"
"710",710,"PPO20_024","Forestville","FOR-050",48.6465,-69.0310833333333,"51.06",0.6,50.46,"0.52","31.85","2019-08-05","PPO.Leim.VRoy.2019","COI"
"714",714,"PPO20_025","Betsiamites","BET-010",48.98815,-68.6065666666667,"9.41",1.7,7.71,"4.92","28.76","2019-08-02","PPO.Leim.VRoy.2019","COI"
"718",718,"PPO20_026","Betsiamites","BET-020",48.9865333333333,-68.6007,"20.32",2.7,17.62,"2.71","30.14","2019-08-02","PPO.Leim.VRoy.2019","COI"
"722",722,"PPO20_027","Betsiamites","BET-030",48.9843666666667,-68.5925666666667,"31.23",2.7,28.53,"1.83","30.96","2019-08-02","PPO.Leim.VRoy.2019","COI"
"730",730,"PPO20_029","Betsiamites","BET-050",48.9778166666667,-68.56865,"52.54",2.7,49.84,"0.41","31.89","2019-08-02","PPO.Leim.VRoy.2019","COI"
"734",734,"PPO20_030","Colombier","COL-010",48.8198,-68.83025,"9.91",3.7,6.21,"8.65","26.93","2019-08-03","PPO.Leim.VRoy.2019","COI"
"738",738,"PPO20_031","Colombier","COL-030",48.8199,-68.82195,"34.200000000000003",3.7,30.5,"1.87","30.95","2019-08-03","PPO.Leim.VRoy.2019","COI"
"742",742,"PPO20_032","Colombier","COL-040",48.81955,-68.8158833333333,"45.6",3.7,41.9,"0.48","31.86","2019-08-03","PPO.Leim.VRoy.2019","COI"
"746",746,"PPO20_033","Colombier","COL-050",48.8193,-68.8098666666667,"55.52",3.9,51.62,"0.3","32.03","2019-08-03","PPO.Leim.VRoy.2019","COI"
