"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"90","PPO20_002","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",690,28
"91","PPO20_003","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",421,23
"92","PPO20_004","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",390,19
"93","PPO20_005","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",745,39
"94","PPO20_006","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",272,18
"95","PPO20_008","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1039,37
"96","PPO20_009","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",412,21
"97","PPO20_010","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",176,13
"98","PPO20_011","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",499,21
"99","PPO20_012","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",3493,37
"100","PPO20_014","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",266,15
"101","PPO20_015","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",723,37
"102","PPO20_016","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",888,38
"103","PPO20_017","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1101,41
"104","PPO20_018","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",462,24
"105","PPO20_020","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1111,24
"106","PPO20_021","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1544,31
"107","PPO20_022","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1099,41
"109","PPO20_024","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1055,47
"110","PPO20_025","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1760,14
"111","PPO20_026","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1096,27
"112","PPO20_027","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",750,23
"114","PPO20_029","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",350,20
"115","PPO20_030","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",2463,18
"116","PPO20_031","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",1253,37
"117","PPO20_032","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",439,22
"118","PPO20_033","PPO.Leim.VRoy.2019","COI",TRUE,"Not artefactual",326,18
