"","ESV_MiFishU_2","ESV_MiFishU_5","ESV_MiFishU_6","ESV_MiFishU_7","ESV_MiFishU_8","ESV_MiFishU_9","ESV_MiFishU_10","ESV_MiFishU_12","ESV_MiFishU_13","ESV_MiFishU_14","ESV_MiFishU_17","ESV_MiFishU_24","ESV_MiFishU_28","ESV_MiFishU_32","ESV_MiFishU_35","ESV_MiFishU_38","ESV_MiFishU_40","ESV_MiFishU_44","ESV_MiFishU_47","ESV_MiFishU_52","ESV_MiFishU_55","ESV_MiFishU_61","ESV_MiFishU_67","ESV_MiFishU_68","ESV_MiFishU_70","ESV_MiFishU_77","ESV_MiFishU_82","ESV_MiFishU_87","ESV_MiFishU_89","ESV_MiFishU_95","ESV_MiFishU_97","ESV_MiFishU_100","ESV_MiFishU_105","ESV_MiFishU_114","ESV_MiFishU_115","ESV_MiFishU_116","ESV_MiFishU_118","ESV_MiFishU_122","ESV_MiFishU_126","ESV_MiFishU_134","ESV_MiFishU_143","ESV_MiFishU_145","ESV_MiFishU_147","ESV_MiFishU_150","ESV_MiFishU_153","ESV_MiFishU_154","ESV_MiFishU_155","ESV_MiFishU_157","ESV_MiFishU_158","ESV_MiFishU_159","ESV_MiFishU_170","ESV_MiFishU_173","ESV_MiFishU_174","ESV_MiFishU_177","ESV_MiFishU_179","ESV_MiFishU_180","ESV_MiFishU_186","ESV_MiFishU_189","ESV_MiFishU_197","ESV_MiFishU_199","ESV_MiFishU_203","ESV_MiFishU_204","ESV_MiFishU_205","ESV_MiFishU_206","ESV_MiFishU_210","ESV_MiFishU_213","ESV_MiFishU_214","ESV_MiFishU_221","ESV_MiFishU_222","ESV_MiFishU_225","ESV_MiFishU_226","ESV_MiFishU_234","ESV_MiFishU_236","ESV_MiFishU_239","ESV_MiFishU_240","ESV_MiFishU_241","ESV_MiFishU_244","ESV_MiFishU_247","ESV_MiFishU_254","ESV_MiFishU_261","ESV_MiFishU_265","ESV_MiFishU_267","ESV_MiFishU_269","ESV_MiFishU_284","ESV_MiFishU_285","ESV_MiFishU_306","ESV_MiFishU_308","ESV_MiFishU_318","ESV_MiFishU_331","ESV_MiFishU_332","ESV_MiFishU_335","ESV_MiFishU_336","ESV_MiFishU_342","ESV_MiFishU_343","ESV_MiFishU_344","ESV_MiFishU_347","ESV_MiFishU_359","ESV_MiFishU_361","ESV_MiFishU_372","ESV_MiFishU_380","ESV_MiFishU_382","ESV_MiFishU_395","ESV_MiFishU_396","ESV_MiFishU_399","ESV_MiFishU_400","ESV_MiFishU_402","ESV_MiFishU_406","ESV_MiFishU_407","ESV_MiFishU_413","ESV_MiFishU_415","ESV_MiFishU_417","ESV_MiFishU_424","ESV_MiFishU_426","ESV_MiFishU_432","ESV_MiFishU_433","ESV_MiFishU_436","ESV_MiFishU_437","ESV_MiFishU_439","ESV_MiFishU_440","ESV_MiFishU_450","ESV_MiFishU_453","ESV_MiFishU_456","ESV_MiFishU_464","ESV_MiFishU_468","ESV_MiFishU_471","ESV_MiFishU_473","ESV_MiFishU_491","ESV_MiFishU_495","ESV_MiFishU_507","ESV_MiFishU_509","ESV_MiFishU_510","ESV_MiFishU_511","ESV_MiFishU_513","ESV_MiFishU_516","ESV_MiFishU_521","ESV_MiFishU_523","ESV_MiFishU_528","ESV_MiFishU_532","ESV_MiFishU_535","ESV_MiFishU_536","ESV_MiFishU_548","ESV_MiFishU_550","ESV_MiFishU_557","ESV_MiFishU_561","ESV_MiFishU_565","ESV_MiFishU_575","ESV_MiFishU_579","ESV_MiFishU_586","ESV_MiFishU_587","ESV_MiFishU_590","ESV_MiFishU_600","ESV_MiFishU_609","ESV_MiFishU_613","ESV_MiFishU_614","ESV_MiFishU_623","ESV_MiFishU_624","ESV_MiFishU_626","ESV_MiFishU_630","ESV_MiFishU_638","ESV_MiFishU_646","ESV_MiFishU_649","ESV_MiFishU_650","ESV_MiFishU_652","ESV_MiFishU_656","ESV_MiFishU_662","ESV_MiFishU_663","ESV_MiFishU_665","ESV_MiFishU_673","ESV_MiFishU_679","ESV_MiFishU_681","ESV_MiFishU_683","ESV_MiFishU_685","ESV_MiFishU_687","ESV_MiFishU_693","ESV_MiFishU_695","ESV_MiFishU_697","ESV_MiFishU_701","ESV_MiFishU_702","ESV_MiFishU_703","ESV_MiFishU_707","ESV_MiFishU_716","ESV_MiFishU_719","ESV_MiFishU_724","ESV_MiFishU_732","ESV_MiFishU_739","ESV_MiFishU_746","ESV_MiFishU_756","ESV_MiFishU_760","ESV_MiFishU_766","ESV_MiFishU_772","ESV_MiFishU_775","ESV_MiFishU_781","ESV_MiFishU_784","ESV_MiFishU_790","ESV_MiFishU_791","ESV_MiFishU_795","ESV_MiFishU_800","ESV_MiFishU_810","ESV_MiFishU_813","ESV_MiFishU_818","ESV_MiFishU_828","ESV_MiFishU_834","ESV_MiFishU_835","ESV_MiFishU_836","ESV_MiFishU_840","ESV_MiFishU_841","ESV_MiFishU_849","ESV_MiFishU_852","ESV_MiFishU_858","ESV_MiFishU_859","ESV_MiFishU_864","ESV_MiFishU_865","ESV_MiFishU_867","ESV_MiFishU_870","ESV_MiFishU_875","ESV_MiFishU_877","ESV_MiFishU_885","ESV_MiFishU_887","ESV_MiFishU_888","ESV_MiFishU_892","ESV_MiFishU_900","ESV_MiFishU_902","ESV_MiFishU_909","ESV_MiFishU_928","ESV_MiFishU_934","ESV_MiFishU_937","ESV_MiFishU_940","ESV_MiFishU_945","ESV_MiFishU_947","ESV_MiFishU_955","ESV_MiFishU_961","ESV_MiFishU_963","ESV_MiFishU_987","ESV_MiFishU_992","ESV_MiFishU_1000","ESV_MiFishU_1012","ESV_MiFishU_1017","ESV_MiFishU_1026","ESV_MiFishU_1040","ESV_MiFishU_1059","ESV_MiFishU_1060","ESV_MiFishU_1063","ESV_MiFishU_1068","ESV_MiFishU_1069","ESV_MiFishU_1072","ESV_MiFishU_1077","ESV_MiFishU_1080","ESV_MiFishU_1088","ESV_MiFishU_1090","ESV_MiFishU_1091","ESV_MiFishU_1103","ESV_MiFishU_1109","ESV_MiFishU_1119","ESV_MiFishU_1128","ESV_MiFishU_1132","ESV_MiFishU_1136","ESV_MiFishU_1145","ESV_MiFishU_1167","ESV_MiFishU_1175","ESV_MiFishU_1178","ESV_MiFishU_1185","ESV_MiFishU_1188","ESV_MiFishU_1189","ESV_MiFishU_1194","ESV_MiFishU_1210","ESV_MiFishU_1212","ESV_MiFishU_1214","ESV_MiFishU_1216","ESV_MiFishU_1220","ESV_MiFishU_1222","ESV_MiFishU_1229","ESV_MiFishU_1230","ESV_MiFishU_1233","ESV_MiFishU_1235","ESV_MiFishU_1246","ESV_MiFishU_1260","ESV_MiFishU_1269","ESV_MiFishU_1276","ESV_MiFishU_1279","ESV_MiFishU_1287","ESV_MiFishU_1298","ESV_MiFishU_1299","ESV_MiFishU_1301","ESV_MiFishU_1304","ESV_MiFishU_1306","ESV_MiFishU_1308","ESV_MiFishU_1310","ESV_MiFishU_1314","ESV_MiFishU_1316","ESV_MiFishU_1320","ESV_MiFishU_1324","ESV_MiFishU_1329","ESV_MiFishU_1330","ESV_MiFishU_1333","ESV_MiFishU_1336","ESV_MiFishU_1354","ESV_MiFishU_1357","ESV_MiFishU_1366","ESV_MiFishU_1367","ESV_MiFishU_1368","ESV_MiFishU_1369","ESV_MiFishU_1381","ESV_MiFishU_1388","ESV_MiFishU_1389","ESV_MiFishU_1391","ESV_MiFishU_1394","ESV_MiFishU_1395","ESV_MiFishU_1396","ESV_MiFishU_1407","ESV_MiFishU_1410","ESV_MiFishU_1411","ESV_MiFishU_1413","ESV_MiFishU_1418","ESV_MiFishU_1422","ESV_MiFishU_1430","ESV_MiFishU_1444","ESV_MiFishU_1445","ESV_MiFishU_1450","ESV_MiFishU_1455","ESV_MiFishU_1463","ESV_MiFishU_1464","ESV_MiFishU_1469","ESV_MiFishU_1474","ESV_MiFishU_1475","ESV_MiFishU_1480","ESV_MiFishU_1483","ESV_MiFishU_1486","ESV_MiFishU_1487","ESV_MiFishU_1503","ESV_MiFishU_1508","ESV_MiFishU_1512","ESV_MiFishU_1513","ESV_MiFishU_1516","ESV_MiFishU_1517","ESV_MiFishU_1521","ESV_MiFishU_1524","ESV_MiFishU_1526","ESV_MiFishU_1531","ESV_MiFishU_1538","ESV_MiFishU_1539","ESV_MiFishU_1540","ESV_MiFishU_1541","ESV_MiFishU_1543","ESV_MiFishU_1551","ESV_MiFishU_1557","ESV_MiFishU_1570","ESV_MiFishU_1571","ESV_MiFishU_1572","ESV_MiFishU_1578","ESV_MiFishU_1582","ESV_MiFishU_1589","ESV_MiFishU_1597","ESV_MiFishU_1598","ESV_MiFishU_1604","ESV_MiFishU_1608","ESV_MiFishU_1612","ESV_MiFishU_1613","ESV_MiFishU_1616","ESV_MiFishU_1619","ESV_MiFishU_1622","ESV_MiFishU_1630","ESV_MiFishU_1635","ESV_MiFishU_1644","ESV_MiFishU_1645","ESV_MiFishU_1649","ESV_MiFishU_1659","ESV_MiFishU_1660","ESV_MiFishU_1662","ESV_MiFishU_1671","ESV_MiFishU_1672","ESV_MiFishU_1675","ESV_MiFishU_1682"
"PPO20_035",48105,242274,0,0,0,0,0,0,144550,0,0,132184,0,0,0,118672,0,0,38482,0,0,0,0,12056,22588,0,0,0,0,0,0,0,0,0,0,0,120,314,0,0,0,0,0,861,0,0,0,0,0,0,0,3642,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,632,0,0,83,3367,0,0,3318,0,0,0,445,0,0,0,495,0,495,0,0,0,0,0,0,77,0,1891,0,0,0,0,495,85,0,0,0,0,284,0,0,0,0,0,0,333,0,0,0,0,0,111,0,46,0,0,0,0,0,118,0,0,0,0,0,0,434,18,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,798,0,0,0,766,0,347,0,0,320,0,0,0,157,0,0,655,111,0,71,0,0,0,0,0,0,0,603,0,587,0,571,559,0,535,0,522,0,0,0,0,0,479,0,0,0,116,0,440,0,434,0,0,0,0,0,416,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,293,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,94,0,0,0,166,165,83,0,0,0,0,0,0,144,143,0,0,0,0,0,0,0,0,0,0,0,54,125,0,0,0,0,117,114,0,0,0,0,0,0,0,0,0,0,95,94,93,0,0,0,0,0,0,0,0,77,0,0,73,0,29,0,0,0,66,0,0,0,62,0,0,0,0,0,0,0,51,0,0,49,48,45,45,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"PPO20_037",362260,125,0,102,0,101,0,0,0,0,0,135967,0,0,174670,0,1224,0,0,0,0,0,0,0,0,0,0,2033,0,0,0,0,0,0,0,0,941,315,0,0,0,0,0,0,1655,0,0,0,797,0,0,0,0,0,0,0,1769,0,0,0,0,0,0,0,0,0,0,3096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788,2203,0,0,0,0,1916,230,0,0,0,0,0,0,1150,270,339,0,175,0,0,0,0,1483,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,1069,0,174,1013,0,0,0,0,0,0,217,185,0,0,0,0,0,0,0,0,107,772,0,0,0,401,0,718,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,246,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,169,0,0,0,0,80,0,0,0,155,0,0,0,0,62,0,0,0,0,0,131,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,28,100,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,75,0,0,43,0,71,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,50,0,0,0,0,45,0,0,0,41,0,40,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"PPO20_039",142809,373274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,44678,0,0,0,342,0,0,0,0,11435,0,0,0,0,0,0,7449,339,0,0,0,0,0,0,0,0,1007,0,1024,270,0,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,3476,211,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,0,84,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,183,0,0,174,0,0,0,0,64,0,0,0,0,0,0,105,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,242,23,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,109,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_040",0,915908,0,121,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,0,1667,0,0,5439,0,0,0,0,0,0,0,629,4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,762,0,0,0,0,0,0,1235,0,0,443,1097,0,407,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_041",0,0,0,0,0,0,0,419331,0,0,0,0,0,0,0,0,0,0,0,0,38691,0,0,0,0,0,0,0,0,0,0,2723,0,0,0,0,0,0,0,0,6668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,0,1214,0,3618,0,0,0,0,0,0,1769,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,297,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,209,0,0,0,0,0,198,0,0,190,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_043",142499,99269,0,0,462946,0,0,0,75819,54,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,1040,1027,0,0,0,2572,121,266,0,0,2007,0,0,0,2181,0,221,1286,237,257,0,0,0,0,3239,0,0,0,0,302,0,0,1391,573,0,2312,0,0,0,0,305,0,0,0,0,0,854,0,0,0,0,259,1050,0,0,242,2304,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,526,0,0,0,0,0,0,0,128,977,0,1388,0,0,37,0,0,99,206,0,0,0,0,0,0,0,391,267,0,608,57,0,0,0,0,0,579,0,0,0,0,0,857,0,0,0,165,0,288,0,0,0,0,0,0,0,0,0,0,0,46,0,99,0,61,0,67,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,339,0,0,0,318,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,100,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,15,0,0,0
"PPO20_044",57810,55377,0,0,463979,0,0,0,1006,0,0,0,0,10258,0,0,293,0,0,0,0,0,0,9746,0,16135,0,0,0,772,6163,0,0,0,1583,91,0,0,0,2244,0,0,0,0,0,0,1520,0,0,0,0,0,5303,0,1561,0,0,4702,106,0,0,952,757,4098,0,0,0,166,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,213,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,135,0,0,0,0,0,0,0,0,0,0,705,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,73,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,8
"PPO20_045",0,377684,0,106,190595,98,0,0,64188,0,0,0,0,0,0,0,0,0,0,0,0,0,18234,406,0,0,14153,0,0,462,456,0,0,8422,746,465,0,0,0,0,0,0,0,0,0,1221,474,1400,0,0,0,0,0,0,656,0,0,0,537,0,0,530,0,0,0,3960,0,0,0,646,0,0,0,0,0,359,0,0,0,0,199,0,0,0,210,0,0,0,0,0,1992,651,0,0,0,0,0,0,0,1667,0,0,0,0,0,120,0,0,0,0,0,0,602,115,0,0,0,0,0,0,216,0,0,130,0,0,0,181,0,0,201,141,106,0,0,0,0,0,0,0,0,101,305,0,0,0,0,0,0,105,0,139,0,0,0,0,0,0,0,730,0,0,0,0,0,46,0,0,0,0,0,47,77,0,0,0,0,609,97,0,0,0,0,0,0,0,0,532,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,282,0,49,0,0,99,0,0,0,0,0,0,0,0,0,45,27,0,0,208,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,41,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"PPO20_047",0,446471,0,0,227187,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,873,606,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,1105,658,1152,0,0,0,0,0,1927,795,661,0,0,392,0,0,460,267,0,1667,0,0,0,0,0,0,0,0,0,0,483,0,0,3019,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,0,0,0,0,0,0,1563,0,159,497,0,0,0,0,0,830,0,0,0,0,358,0,0,304,0,0,224,0,0,0,221,0,1091,306,251,136,0,0,0,0,0,997,991,0,0,253,0,0,0,0,0,0,157,828,127,0,0,0,769,0,0,0,0,0,0,0,0,0,0,510,0,0,249,0,0,163,0,0,0,610,0,125,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,407,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,247,247,0,0,0,0,0,236,83,44,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_048",203114,69152,0,0,260460,0,0,0,0,0,0,0,0,0,0,0,43472,0,0,0,0,0,0,435,0,0,0,0,0,6488,630,0,9368,0,945,0,582,0,0,1077,0,0,0,0,0,549,941,204,412,0,0,0,0,0,912,3441,0,0,189,0,0,0,539,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,734,2713,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,123,136,0,0,169,0,0,1491,0,0,0,0,0,0,0,0,0,0,0,343,130,0,161,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,38,0,97,0,0,0,857,196,0,143,0,75,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,47,0,0,150,0,0,620,0,0,149,0,0,0,0,0,0,0,0,0,0,0,509,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,211,0,0,0,0,0,0,0,0,43,0,0,0,168,167,0,0,0,63,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,43,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
