"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"751",751,"PPO20_035","Pointe aux Outardes","Pointe O. 01-1",49.03755,-68.4311,"0.5",NA,NA,"13.42","19.73","2019-07-14","PPO.PO.DLevesque.2019","MiFishU"
"759",759,"PPO20_037","Pointe aux Outardes","Pointe O. 01-3",49.03755,-68.4311,"0.5",NA,NA,"13.42","19.73","2019-07-14","PPO.PO.DLevesque.2019","MiFishU"
"763",763,"PPO20_039","Pointe aux Outardes","Pointe O. 02-1",49.03717,-68.43089,"0.5",NA,NA,"13.61","24.59","2019-07-15","PPO.PO.DLevesque.2019","MiFishU"
"767",767,"PPO20_040","Pointe aux Outardes","Pointe O. 02-2",49.03717,-68.43089,"0.5",NA,NA,"13.61","24.59","2019-07-15","PPO.PO.DLevesque.2019","MiFishU"
"771",771,"PPO20_041","Pointe aux Outardes","Pointe O. 02-3",49.03717,-68.43089,"0.5",NA,NA,"13.61","24.59","2019-07-15","PPO.PO.DLevesque.2019","MiFishU"
"775",775,"PPO20_043","Pointe aux Outardes","Pointe O. 03-1",49.03759,-68.43113,"0.4",NA,NA,"14.87","22.81","2019-07-16","PPO.PO.DLevesque.2019","MiFishU"
"779",779,"PPO20_044","Pointe aux Outardes","Pointe O. 03-2",49.03759,-68.43113,"0.4",NA,NA,"14.87","22.81","2019-07-16","PPO.PO.DLevesque.2019","MiFishU"
"783",783,"PPO20_045","Pointe aux Outardes","Pointe O. 03-3",49.03759,-68.43113,"0.4",NA,NA,"14.87","22.81","2019-07-16","PPO.PO.DLevesque.2019","MiFishU"
"787",787,"PPO20_047","Pointe aux Outardes","Pointe O. 04-1",49.03763,-68.43113,"0.4",NA,NA,"14.37","22.12","2019-07-17","PPO.PO.DLevesque.2019","MiFishU"
"791",791,"PPO20_048","Pointe aux Outardes","Pointe O. 04-2",49.03763,-68.43113,"0.4",NA,NA,"14.37","22.12","2019-07-17","PPO.PO.DLevesque.2019","MiFishU"
"795",795,"PPO20_049","Pointe aux Outardes","Pointe O. 04-3",49.03763,-68.43113,"0.4",NA,NA,"14.37","22.12","2019-07-17","PPO.PO.DLevesque.2019","MiFishU"
"799",799,"PPO20_051","Pointe aux Outardes","Pointe O. 05-1",49.03754,-68.4312,"0.3",NA,NA,"14.35","25.18","2019-07-18","PPO.PO.DLevesque.2019","MiFishU"
"803",803,"PPO20_052","Pointe aux Outardes","Pointe O. 05-2",49.03754,-68.4312,"0.3",NA,NA,"14.35","25.18","2019-07-18","PPO.PO.DLevesque.2019","MiFishU"
"807",807,"PPO20_053","Pointe aux Outardes","Pointe O. 05-3",49.03754,-68.4312,"0.3",NA,NA,"14.35","25.18","2019-07-18","PPO.PO.DLevesque.2019","MiFishU"
