",""ID_ADNe"",""Site"",""ID_reception"",""Latitude"",""Longitude"",""Depth_CTD"",""Tide"",""Depth_m"",""Temperature"",""Salinity"",""Date"",""Project"",""Locus"""
"1,""ADE_21_00397"",""Godbout"",""11M4-c"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"2,""ADE_21_00397"",""Godbout"",""11M4-c"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"3,""ADE_21_00397"",""Godbout"",""11M4-c"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"4,""ADE_21_00397"",""Godbout"",""11M4-c"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"5,""ADE_21_00398"",""Godbout"",""6M1-c"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"6,""ADE_21_00398"",""Godbout"",""6M1-c"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"7,""ADE_21_00398"",""Godbout"",""6M1-c"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"8,""ADE_21_00398"",""Godbout"",""6M1-c"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"9,""ADE_21_00399"",""Godbout"",""6M3-b"",""49.302127975970507"",""-67.698299987241626"",""7.67"",""1.9"",5.77,""10.85"",""27.84"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"10,""ADE_21_00399"",""Godbout"",""6M3-b"",""49.302127975970507"",""-67.698299987241626"",""7.67"",""1.9"",5.77,""10.85"",""27.84"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"11,""ADE_21_00399"",""Godbout"",""6M3-b"",""49.302127975970507"",""-67.698299987241626"",""7.67"",""1.9"",5.77,""10.85"",""27.84"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"12,""ADE_21_00399"",""Godbout"",""6M3-b"",""49.302127975970507"",""-67.698299987241626"",""7.67"",""1.9"",5.77,""10.85"",""27.84"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"13,""ADE_21_00400"",""Godbout"",""2M3-c"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"14,""ADE_21_00400"",""Godbout"",""2M3-c"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"15,""ADE_21_00400"",""Godbout"",""2M3-c"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"16,""ADE_21_00400"",""Godbout"",""2M3-c"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"17,""ADE_21_00401"",""Godbout"",""11M1-a"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"18,""ADE_21_00401"",""Godbout"",""11M1-a"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"19,""ADE_21_00401"",""Godbout"",""11M1-a"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"20,""ADE_21_00401"",""Godbout"",""11M1-a"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"21,""ADE_21_00402"",""Godbout"",""11M4-b"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"22,""ADE_21_00402"",""Godbout"",""11M4-b"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"23,""ADE_21_00402"",""Godbout"",""11M4-b"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"24,""ADE_21_00402"",""Godbout"",""11M4-b"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"25,""ADE_21_00403"",""Godbout"",""6M3-c"",""49.302127975970507"",""-67.698299987241626"",""7.67"",""1.9"",5.77,""10.85"",""27.84"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
