"","OTU_41","OTU_19","OTU_5","OTU_18","OTU_13","OTU_50","OTU_15","OTU_24","OTU_17","OTU_11","OTU_12","OTU_31","OTU_29","OTU_14","OTU_34","OTU_1","OTU_21","OTU_48","OTU_44","OTU_10","OTU_22","OTU_42","OTU_7","OTU_6","OTU_8","OTU_45","OTU_43","OTU_37","OTU_20","OTU_49","OTU_16","OTU_40","OTU_38","OTU_46","OTU_9","OTU_26","OTU_25","OTU_28","OTU_3","OTU_39","OTU_4","OTU_30","OTU_23","OTU_27","OTU_47","OTU_33","OTU_36","OTU_2","OTU_35","OTU_32"
"BDA20_002",0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_003",28630,0,18134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_004",172218,0,184114,0,0,0,0,0,0,0,0,0,0,0,64992,0,0,3708,172,0,0,0,417,0,31,0,0,0,0,3795,0,0,139,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_005",535110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,468,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_007",197445,0,18090,0,117,0,0,0,0,312629,0,0,0,0,0,0,45311,0,0,0,0,0,0,0,0,24,0,157,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_008",285984,0,162686,0,0,0,0,0,0,0,0,85187,0,0,0,0,0,0,0,0,0,0,180,0,0,125,0,222,4243,0,0,0,67,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_009",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_010",39238,0,5751,0,0,0,0,0,0,1740,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,119,4186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_012",59017,0,7367,0,0,0,0,0,0,5484,0,0,0,0,0,0,7557,2070,0,0,0,0,0,0,0,838,0,31,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_014",20414,0,0,0,0,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
