"","OTU_65","OTU_120","OTU_47","OTU_7","OTU_57","OTU_49","OTU_70","OTU_50","OTU_148","OTU_169","OTU_197","OTU_52","OTU_86","OTU_103","OTU_75","OTU_41","OTU_109","OTU_60","OTU_66","OTU_145","OTU_62","OTU_139","OTU_58","OTU_51","OTU_140","OTU_172","OTU_68","OTU_101","OTU_187","OTU_69","OTU_176","OTU_105","OTU_178","OTU_59","OTU_162","OTU_142","OTU_54","OTU_185","OTU_136","OTU_95","OTU_64","OTU_143","OTU_133","OTU_72","OTU_20","OTU_134","OTU_90","OTU_150","OTU_158","OTU_114","OTU_104","OTU_73","OTU_61","OTU_153","OTU_177","OTU_180","OTU_118","OTU_129","OTU_186","OTU_45","OTU_14","OTU_137","OTU_110","OTU_99","OTU_156","OTU_113","OTU_159","OTU_112","OTU_210","OTU_71","OTU_135","OTU_138","OTU_198","OTU_163","OTU_183","OTU_85","OTU_13","OTU_151","OTU_8","OTU_173","OTU_122","OTU_154","OTU_192","OTU_91","OTU_195","OTU_194","OTU_88","OTU_46","OTU_38","OTU_190","OTU_67","OTU_48","OTU_144","OTU_63","OTU_184","OTU_31","OTU_157","OTU_130","OTU_111","OTU_189","OTU_170","OTU_126","OTU_123","OTU_127","OTU_100","OTU_11","OTU_124","OTU_167","OTU_161","OTU_5","OTU_191","OTU_155","OTU_174","OTU_119","OTU_10","OTU_152","OTU_43","OTU_160","OTU_213","OTU_181","OTU_115","OTU_121","OTU_141","OTU_179","OTU_131","OTU_211","OTU_102","OTU_2","OTU_207","OTU_175","OTU_3","OTU_4","OTU_6","OTU_93","OTU_125","OTU_107","OTU_39","OTU_106","OTU_116","OTU_87","OTU_199","OTU_1","OTU_147","OTU_34","OTU_35","OTU_80","OTU_164","OTU_77","OTU_40","OTU_188","OTU_18","OTU_202","OTU_82","OTU_200","OTU_204","OTU_108","OTU_29","OTU_165","OTU_196","OTU_17","OTU_132","OTU_96","OTU_76","OTU_78","OTU_89","OTU_146","OTU_19","OTU_208","OTU_201","OTU_37","OTU_193","OTU_128","OTU_168","OTU_209","OTU_79","OTU_94","OTU_83","OTU_212","OTU_36","OTU_149","OTU_9","OTU_26","OTU_56","OTU_97","OTU_92","OTU_84","OTU_55","OTU_33","OTU_117","OTU_203","OTU_74","OTU_53","OTU_15","OTU_42","OTU_12","OTU_16","OTU_182","OTU_98","OTU_205","OTU_23","OTU_44","OTU_32","OTU_28","OTU_81","OTU_166","OTU_27","OTU_171","OTU_25","OTU_22","OTU_30","OTU_21","OTU_206","OTU_24"
"PPO20_197",819,113,55,9,99,39,20,20,0,9,17,0,191,0,23,0,6,0,17,29,0,0,49,0,0,0,0,12,23,0,33,0,0,5,7,0,0,0,0,10,0,0,10,11,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,7,0,0,0,0,0,36,0,0,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_198",306,67,23,0,27,9,14,9,0,6,12,0,123,0,17,8,9,0,8,19,14,0,0,0,0,0,17,0,0,0,18,0,0,0,7,0,0,0,0,6,0,3,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_199",366,78,29,0,22,13,8,11,0,0,9,0,119,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_200",419,49,27,0,17,13,6,14,0,5,9,0,74,0,8,0,5,0,13,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_201",508,80,24,0,49,20,19,15,0,0,0,0,89,0,17,0,10,0,11,15,0,0,36,0,0,0,15,5,0,0,12,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_202",468,82,48,0,29,11,17,7,0,0,14,0,129,0,23,10,17,0,10,21,0,0,0,0,0,0,13,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_203",678,71,97,5,103,68,50,62,0,0,35,0,80,0,60,28,6,29,20,81,0,0,0,11,0,0,0,3,18,10,12,0,0,0,12,0,0,0,10,0,38,6,7,8,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,15,7,0,6,0,0,0,0,0,5,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_204",435,25,47,0,46,14,29,30,0,6,0,0,23,0,32,7,0,0,17,24,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_205",598,45,59,0,104,35,37,45,6,12,10,0,27,0,52,20,0,0,27,34,0,0,62,0,0,0,0,0,0,7,10,0,4,13,0,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,16,0,0,2,0,5,0,0,0,0,0,0,4,0,6,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_206",821,53,78,0,79,39,37,66,0,15,17,10,93,0,45,20,0,0,40,44,25,0,0,0,0,3,22,0,0,0,20,0,0,0,6,0,0,0,0,0,58,7,0,19,5,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,22,0,0,0,0,15,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
