"","OTU_85","OTU_166","OTU_50","OTU_71","OTU_49","OTU_81","OTU_46","OTU_79","OTU_18","OTU_7","OTU_1","OTU_48","OTU_45","OTU_90","OTU_101","OTU_86","OTU_148","OTU_3","OTU_186","OTU_84","OTU_74","OTU_158","OTU_83","OTU_54","OTU_190","OTU_143","OTU_44","OTU_191","OTU_75","OTU_110","OTU_118","OTU_77","OTU_41","OTU_100","OTU_89","OTU_82","OTU_6","OTU_174","OTU_70","OTU_88","OTU_2","OTU_159","OTU_193","OTU_29","OTU_135","OTU_155","OTU_78","OTU_102","OTU_111","OTU_170","OTU_140","OTU_30","OTU_117","OTU_141","OTU_80","OTU_16","OTU_124","OTU_195","OTU_4","OTU_67","OTU_165","OTU_92","OTU_14","OTU_167","OTU_119","OTU_180","OTU_43","OTU_72","OTU_164","OTU_160","OTU_103","OTU_130","OTU_55","OTU_104","OTU_69","OTU_131","OTU_168","OTU_63","OTU_76","OTU_194","OTU_11","OTU_112","OTU_122","OTU_188","OTU_19","OTU_68","OTU_183","OTU_52","OTU_15","OTU_87","OTU_66","OTU_153","OTU_58","OTU_146","OTU_40","OTU_116","OTU_94","OTU_175","OTU_98","OTU_25","OTU_95","OTU_73","OTU_24","OTU_64","OTU_178","OTU_96","OTU_51","OTU_157","OTU_56","OTU_162","OTU_26","OTU_179","OTU_147","OTU_33","OTU_36","OTU_20","OTU_189","OTU_173","OTU_57","OTU_59","OTU_106","OTU_9","OTU_8","OTU_17","OTU_38","OTU_114","OTU_123","OTU_60","OTU_139","OTU_65","OTU_145","OTU_22","OTU_171","OTU_156","OTU_105","OTU_182","OTU_12","OTU_34","OTU_121","OTU_134","OTU_192","OTU_154","OTU_99","OTU_187","OTU_21","OTU_113","OTU_125","OTU_152","OTU_115","OTU_150","OTU_93","OTU_169","OTU_128","OTU_151","OTU_53","OTU_13","OTU_161","OTU_176","OTU_91","OTU_181","OTU_39","OTU_28","OTU_144","OTU_31","OTU_37","OTU_132","OTU_136","OTU_129","OTU_177","OTU_163","OTU_61","OTU_10","OTU_5","OTU_133","OTU_27","OTU_126","OTU_62","OTU_109","OTU_107","OTU_184","OTU_108","OTU_149","OTU_23","OTU_97","OTU_137","OTU_138","OTU_32","OTU_127","OTU_142","OTU_120","OTU_185","OTU_42","OTU_172","OTU_47","OTU_35"
"BDA20_001",6,88,576,7,0,61,51,34,17,30,0,40,37,0,0,18,153,40,5,0,13,8,0,0,0,0,41,0,0,10,0,0,0,0,0,0,57,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,68,0,0,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_002",27,47,196,0,0,17,13,17,0,12,0,0,20,22,0,0,31,10,0,0,10,8,0,0,0,0,22,0,0,7,0,0,0,0,0,0,0,12,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_003",0,120,0,0,0,9,0,0,0,24,0,0,0,22,0,0,12,0,10,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,5,8,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_004",0,0,0,0,0,0,0,8,0,35,11,0,0,22,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_005",0,8,113,5,0,8,0,0,0,0,0,0,13,28,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,16,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_006",0,16,2409,0,0,0,0,0,0,25,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_007",0,21,0,33,0,0,9,6,0,29,0,0,0,59,0,0,11,5,0,0,4,14,0,0,0,0,7,0,12,11,0,0,10,0,18,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_008",0,17,6,5,0,0,0,0,0,8,0,0,0,28,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_009",0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_010",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
