"","OTU_2","OTU_19","OTU_7","OTU_18","OTU_10","OTU_5","OTU_24","OTU_16","OTU_23","OTU_11","OTU_25","OTU_26","OTU_9","OTU_28","OTU_6","OTU_17","OTU_3","OTU_8","OTU_21","OTU_1","OTU_20","OTU_15","OTU_14","OTU_12","OTU_22","OTU_13","OTU_4","OTU_27"
"BDA20_002",0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"BDA20_003",28630,0,18215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_004",172390,0,184764,0,0,0,0,0,0,0,0,0,0,64992,0,0,7503,0,0,139,0,0,0,0,0,0,0,0
"BDA20_005",535110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,867,0,0,0,0,0,0,0,0
"BDA20_006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"BDA20_007",197445,0,18090,0,117,0,0,0,0,312629,0,0,0,0,0,45311,24,0,0,240,0,0,0,0,0,0,0,0
"BDA20_008",285984,0,163031,0,0,0,0,0,0,0,85187,0,0,0,0,0,125,0,0,289,4243,0,0,0,0,0,0,0
"BDA20_009",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"BDA20_010",43424,0,5751,0,0,0,0,0,0,1740,0,0,0,0,0,282,119,0,0,0,0,0,0,0,0,0,0,0
"BDA20_012",59017,0,7367,0,0,0,0,0,0,5484,0,0,0,0,0,7557,2908,0,0,51,0,0,0,0,0,0,0,0
"BDA20_014",20414,0,0,0,0,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"BDA20_015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"BDA20_016",4248,0,0,0,0,0,0,0,0,1214,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_017",67560,0,122840,0,0,0,0,0,0,3758,5598,0,0,0,0,782,0,0,0,34,0,0,0,0,0,0,0,0
"BDA20_018",495942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,0,0,513,0,0,0,0,0,0,0,0
"BDA20_019",104463,0,543071,0,0,0,41082,0,0,65,58655,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0
"BDA20_020",449475,0,413603,129,107,128,0,100,0,64,0,0,0,0,0,0,482,0,0,483,0,0,0,0,0,0,0,0
"BDA20_022",21897,0,0,0,0,0,0,0,0,2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_023",0,0,3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_024",524842,0,0,0,0,109,0,0,0,0,0,0,0,51628,0,0,583,0,0,851,0,0,0,0,0,0,0,0
"BDA20_033",31845,0,0,0,0,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_034",549309,0,79320,155,145,130,94,88,0,160182,4056,0,0,0,0,0,243,0,0,609,0,0,35,0,0,0,0,0
"BDA20_035",303084,0,9929,0,0,0,0,0,0,250418,0,8873,0,0,0,0,7383,0,0,534,0,0,0,0,0,0,0,0
"BDA20_036",416069,0,0,0,0,0,40038,50395,0,3297,0,0,0,61353,0,0,1052,0,0,607,0,0,0,0,0,0,0,0
"BDA20_037",0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
"BDA20_042",814666,0,0,0,0,114,0,0,0,0,0,15837,0,0,0,0,4870,0,0,736,0,0,0,0,0,0,0,0
"BDA20_043",456365,0,12409,0,116,0,0,0,0,84025,0,0,0,0,0,0,811,0,0,455,0,0,0,0,0,0,0,0
"BDA20_044",12943,0,0,0,0,0,0,0,0,10,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_045",705698,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,31844,0,0,766,0,0,0,0,0,0,0,0
"BDA20_046",260121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0
"BDA20_047",159283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0
"BDA20_048",0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_049",267109,0,21585,0,0,0,0,0,0,30271,0,0,0,0,0,0,723,0,0,268,0,0,0,0,0,0,0,0
"BDA20_051",53019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0
"BDA20_052",15454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
"BDA20_053",18164,0,0,0,0,0,4316,0,0,173,0,0,0,0,0,0,355,0,0,0,0,0,4,0,0,0,0,0
"BDA20_054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"BDA20_055",120295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5963,0,0,100,0,0,0,0,0,0,0,0
"BDA20_057",327481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,540,0,0,0,0,0,0,0,0
"BDA20_058",89976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
"BDA20_059",312403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,325,0,0,0,0,0,0,0,0
