"","OTU_96","OTU_85","OTU_1","OTU_7","OTU_9","OTU_116","OTU_4","OTU_11","OTU_13","OTU_16","OTU_80","OTU_10","OTU_31","OTU_3","OTU_102","OTU_95","OTU_105","OTU_104","OTU_115","OTU_15","OTU_124","OTU_127","OTU_97","OTU_125","OTU_119","OTU_126","OTU_122","OTU_107","OTU_120","OTU_121","OTU_32","OTU_111","OTU_98","OTU_5","OTU_106","OTU_130","OTU_132","OTU_114","OTU_135","OTU_92","OTU_118","OTU_133","OTU_109","OTU_17","OTU_139","OTU_55","OTU_136","OTU_99","OTU_30","OTU_93","OTU_74","OTU_108","OTU_90","OTU_103","OTU_154","OTU_91","OTU_34","OTU_76","OTU_89","OTU_26","OTU_61","OTU_140","OTU_42","OTU_206","OTU_110","OTU_84","OTU_203","OTU_14","OTU_197","OTU_20","OTU_81","OTU_82","OTU_59","OTU_38","OTU_94","OTU_58","OTU_199","OTU_176","OTU_87","OTU_88","OTU_178","OTU_198","OTU_66","OTU_68","OTU_180","OTU_152","OTU_23","OTU_24","OTU_27","OTU_195","OTU_62","OTU_48","OTU_6","OTU_117","OTU_37","OTU_28","OTU_177","OTU_151","OTU_172","OTU_113","OTU_18","OTU_36","OTU_40","OTU_35","OTU_22","OTU_175","OTU_49","OTU_100","OTU_200","OTU_53","OTU_205","OTU_196","OTU_171","OTU_134","OTU_187","OTU_101","OTU_128","OTU_19","OTU_155","OTU_156","OTU_123","OTU_70","OTU_173","OTU_150","OTU_129","OTU_204","OTU_51","OTU_2","OTU_157","OTU_69","OTU_184","OTU_153","OTU_131","OTU_174","OTU_207","OTU_12","OTU_181","OTU_72","OTU_138","OTU_170","OTU_192","OTU_159","OTU_169","OTU_21","OTU_166","OTU_191","OTU_33","OTU_179","OTU_112","OTU_193","OTU_54","OTU_201","OTU_73","OTU_143","OTU_182","OTU_158","OTU_45","OTU_29","OTU_8","OTU_137","OTU_202","OTU_163","OTU_83","OTU_144","OTU_41","OTU_50","OTU_160","OTU_146","OTU_189","OTU_186","OTU_161","OTU_71","OTU_148","OTU_63","OTU_39","OTU_75","OTU_43","OTU_60","OTU_145","OTU_142","OTU_147","OTU_47","OTU_67","OTU_56","OTU_149","OTU_162","OTU_164","OTU_168","OTU_190","OTU_57","OTU_183","OTU_165","OTU_46","OTU_185","OTU_64","OTU_141","OTU_65","OTU_194","OTU_188","OTU_44","OTU_167","OTU_78","OTU_79","OTU_77","OTU_52","OTU_86","OTU_25"
"PPO20_002",126089,0,21736,81985,0,0,6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"PPO20_003",139886,0,0,1255,122165,0,0,0,0,0,0,44686,0,3517,0,0,0,0,0,0,1739,1535,0,1432,1422,1344,1289,0,1180,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,69,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"PPO20_004",0,0,11211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"PPO20_005",163965,0,0,47740,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,1572,0,0,0,0,0,0,0,5139,0,0,53872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,43,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_006",281416,0,0,0,14374,10594,0,0,0,0,0,0,0,0,0,139,0,4033,0,0,0,0,8074,0,0,0,0,0,0,0,51,0,0,0,0,0,0,12323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,27,264,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
"PPO20_008",130060,0,9462,1908,0,0,0,0,0,0,0,0,0,1549,0,0,0,0,203654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_009",166125,0,10118,0,0,57285,0,0,0,0,0,0,0,0,157,0,0,90292,0,0,4543,4405,0,3857,3957,3640,3574,0,3278,3140,726,0,0,0,0,0,0,2541,0,0,0,0,0,0,0,0,0,317,0,0,0,0,44,0,0,0,0,0,0,0,0,0,1466,0,128,0,247,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,174,0,0,187,0,18,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,47,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_010",318948,0,510,55396,0,0,0,0,0,0,0,0,0,0,0,0,0,17337,0,0,1614,1545,0,1197,1207,1235,1137,0,958,957,0,0,0,0,0,0,0,0,0,0,0,0,16537,0,0,0,0,0,0,0,599,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_011",345243,0,0,0,0,109203,0,0,0,0,0,0,0,0,0,0,66,7011,0,0,0,0,6384,0,0,0,0,0,0,0,210,0,0,0,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0
"PPO20_012",319131,0,0,0,4508,15458,0,0,0,0,0,0,0,0,11690,601,0,3561,8416,0,0,0,2036,0,0,0,0,0,0,0,0,0,2053,0,5363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
