"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Model",3,39139.1056868241,4.20922450568356,0.001,"0.139","0.106","Hellinger - all model","BDA_16Schord"
"Residual",78,241758.724554458,NA,NA,"NA","NA","Hellinger - all model","BDA_16Schord"
"Longitude",1,7702.22882942401,2.48501413879582,0.089,"0.03","pRDA","Hellinger","BDA_16Schord"
"Latitude",1,3604.22383339127,1.16285134909864,0.301,"0.014","pRDA","Hellinger","BDA_16Schord"
"Depth_m",1,1697.01934409651,0.547519056792967,0.585,"0.007","pRDA","Hellinger","BDA_16Schord"
"Residual1",78,241758.724554458,NA,NA,"0.949","pRDA","Hellinger","BDA_16Schord"
"Model1",3,12017767.976133,1.36275526239667,0.251,"0.05","0.013","Log1p - all model","BDA_16Schord"
"Residual2",78,229286927.742208,NA,NA,"NA","NA","Log1p - all model","BDA_16Schord"
"Longitude1",1,1874044.95341879,0.637522198958564,0.468,"0.008","pRDA","Log1p","BDA_16Schord"
"Latitude1",1,560552.906975597,0.19069175541161,0.904,"0.002","pRDA","Log1p","BDA_16Schord"
"Depth_m1",1,2174076.47428843,0.739588456543663,0.444,"0.009","pRDA","Log1p","BDA_16Schord"
"Residual3",78,229286927.742208,NA,NA,"0.98","pRDA","Log1p","BDA_16Schord"
