"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Model",3,126052.848451976,0.447618345533952,0.696,"0.017","-0.021","Hellinger - all model","BDA_COI"
"Residual",78,7321804.59637304,NA,NA,"NA","NA","Hellinger - all model","BDA_COI"
"Longitude",1,65488.4002090767,0.697655222708121,0.373,"0.009","pRDA","Hellinger","BDA_COI"
"Latitude",1,9690.27075468376,0.103231533827023,0.771,"0.001","pRDA","Hellinger","BDA_COI"
"Depth_m",1,1741.73572274856,0.0185549046804234,0.945,"0","pRDA","Hellinger","BDA_COI"
"Residual1",78,7321804.59637304,NA,NA,"0.99","pRDA","Hellinger","BDA_COI"
"Model1",3,16383589.5960001,0.815254712016204,0.481,"0.03","-0.007","Log1p - all model","BDA_COI"
"Residual2",78,522503363.939508,NA,NA,"NA","NA","Log1p - all model","BDA_COI"
"Longitude1",1,7999802.48662567,1.19422119936637,0.294,"0.015","pRDA","Log1p","BDA_COI"
"Latitude1",1,976839.150403082,0.145823852992957,0.723,"0.002","pRDA","Log1p","BDA_COI"
"Depth_m1",1,283320.778549731,0.0422945042119145,0.867,"0.001","pRDA","Log1p","BDA_COI"
"Residual3",78,522503363.939508,NA,NA,"0.983","pRDA","Log1p","BDA_COI"
