"","Df","Variance","F","Pr..F.","R2","adj.R2","Transfo","Project_Locus"
"Model",3,235257.232616688,5.26200896441048,0.001,"0.217","0.176","Hellinger - all model","BDA_MiFishU"
"Residual",57,849464.044996708,NA,NA,"NA","NA","Hellinger - all model","BDA_MiFishU"
"Longitude",1,80481.9618558267,5.40043083965949,0.008,"0.081","pRDA","Hellinger","BDA_MiFishU"
"Latitude",1,19337.4764580515,1.2975665828366,0.259,"0.02","pRDA","Hellinger","BDA_MiFishU"
"Depth_m",1,39040.7536226433,2.61967880759367,0.086,"0.04","pRDA","Hellinger","BDA_MiFishU"
"Residual1",57,849464.044996708,NA,NA,"0.859","pRDA","Hellinger","BDA_MiFishU"
"Model1",3,34466601.5315135,3.82300721549331,0.002,"0.168","0.124","Log1p - all model","BDA_MiFishU"
"Residual2",57,171295891.476431,NA,NA,"NA","NA","Log1p - all model","BDA_MiFishU"
"Longitude1",1,13365162.8182701,4.44735874325517,0.007,"0.07","pRDA","Log1p","BDA_MiFishU"
"Latitude1",1,1905600.78232786,0.634103034558963,0.593,"0.01","pRDA","Log1p","BDA_MiFishU"
"Depth_m1",1,3867568.50720489,1.28696259443567,0.262,"0.02","pRDA","Log1p","BDA_MiFishU"
"Residual3",57,171295891.476431,NA,NA,"0.9","pRDA","Log1p","BDA_MiFishU"
