"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",3.51666666666667,0.000764024252760948,0.472,0.472,"Depth|2D","no"
"2",7.03333333333333,-0.0256471821435327,0.207,0.414,"Depth|2D","no"
"3",10.55,-0.0423283080801042,0.108,0.324,"Depth|2D","no"
"4",14.0666666666667,-0.0228158120885378,0.236,0.944,"Depth|2D","no"
"5",17.5833333333333,-0.0310846162778012,0.174,0.87,"Depth|2D","no"
"6",21.1,0.0101870073891379,0.377,2.262,"Depth|2D","no"
"7",24.6166666666667,0.0236280973692709,0.206,1.442,"Depth|2D","no"
"8",28.1333333333333,0.0285035460292576,0.231,1.848,"Depth|2D","no"
"9",31.65,0.0423080824970483,0.13,1.17,"Depth|2D","no"
"10",35.1666666666667,0.0701696100138413,0.072,0.72,"Depth|2D","no"
"11",38.6833333333333,0.0326079369709513,0.202,2.222,"Depth|2D","no"
"12",43.2,0.00755427145479105,0.425,5.1,"Depth|2D","no"
"13",2178.53484660133,0.360900350825966,0.001,0.001,"2D|Depth","yes"
"14",4357.06969320265,0.0109418246830233,0.447,0.894,"2D|Depth","no"
"15",6535.60453980398,0.137175213893443,0.002,0.006,"2D|Depth","yes"
"16",8714.13938640531,0.113480981970428,0.014,0.056,"2D|Depth","no"
"17",10892.6742330066,0.0147822849167881,0.367,1.835,"2D|Depth","no"
"18",13071.209079608,-0.10409588619796,0.04,0.24,"2D|Depth","no"
"19",15249.7439262093,-0.303841315489519,0.001,0.007,"2D|Depth","yes"
"20",17428.2787728106,-0.194388210618177,0.001,0.008,"2D|Depth","yes"
"21",19606.8136194119,-0.0251009671142817,0.219,1.971,"2D|Depth","no"
"22",21785.3484660133,-0.0577444006798476,0.053,0.53,"2D|Depth","no"
"23",23963.8833126146,-0.0625943495019189,0.007,0.077,"2D|Depth","no"
"24",26143.4181592159,-0.0594665587077172,0.019,0.228,"2D|Depth","no"
"25",2179.45180806345,0.396303738379414,0.001,0.001,"3D","yes"
"26",4357.9036161269,0.0308413513355647,0.303,0.606,"3D","no"
"27",6536.35542419036,0.0757740640994638,0.068,0.204,"3D","no"
"28",8714.80723225381,0.0321625536199504,0.322,1.288,"3D","no"
"29",10893.2590403173,-0.0522808698008558,0.182,0.91,"3D","no"
"30",13071.7108483807,-0.124922644772229,0.018,0.108,"3D","no"
"31",15250.1626564442,-0.333613295392869,0.001,0.007,"3D","yes"
"32",17428.6144645076,-0.208878057867173,0.001,0.008,"3D","yes"
"33",19607.0662725711,-0.0213617521613084,0.23,2.07,"3D","no"
"34",21785.5180806345,-0.0663758279530689,0.023,0.23,"3D","no"
"35",23963.969888698,-0.0696038579724202,0.005,0.055,"3D","no"
"36",26143.4216967614,-0.0617385259284576,0.018,0.216,"3D","no"
