"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif","Season"
"1",0.761,0.0403834452540727,0.293,0.293,"Depth|2D","no","Fall"
"2",1.522,-0.0320101684914816,0.269,0.538,"Depth|2D","no","Fall"
"3",2.283,-0.0800168845408726,0.073,0.219,"Depth|2D","no","Fall"
"4",3.044,0.0654084924776728,0.147,0.588,"Depth|2D","no","Fall"
"5",3.805,0.0428609131047574,0.335,1.675,"Depth|2D","no","Fall"
"6",4.566,-0.051916619466984,0.186,1.116,"Depth|2D","no","Fall"
"7",5.327,-0.0355440159310419,0.256,1.792,"Depth|2D","no","Fall"
"8",6.088,-0.00133572396836174,0.498,3.984,"Depth|2D","no","Fall"
"9",6.849,0.191487379199276,0.003,0.027,"Depth|2D","yes","Fall"
"10",8.61,-0.109879707707861,0.094,0.94,"Depth|2D","no","Fall"
"11",23.775521054246,0.00592155540978367,0.461,0.461,"2D|Depth","no","Fall"
"12",47.551042108492,0.211813658563303,0.001,0.002,"2D|Depth","yes","Fall"
"13",71.3265631627379,-0.0652095622119719,0.096,0.288,"2D|Depth","no","Fall"
"14",95.1020842169839,-0.0804269581817736,0.066,0.264,"2D|Depth","no","Fall"
"15",118.87760527123,-0.144003104359557,0.033,0.165,"2D|Depth","no","Fall"
"16",142.653126325476,-0.0380558634915223,0.269,1.614,"2D|Depth","no","Fall"
"17",166.428647379722,-0.0392543374210208,0.237,1.659,"2D|Depth","no","Fall"
"18",190.204168433968,0.0891891932775397,0.083,0.664,"2D|Depth","no","Fall"
"19",213.979689488214,0.0899027075834171,0.033,0.297,"2D|Depth","no","Fall"
"20",238.75521054246,-0.0976843773288053,0.108,1.08,"2D|Depth","no","Fall"
"21",23.7860901032703,0.0501915172730379,0.108,0.108,"3D","no","Fall"
"22",47.5721802065406,0.229128188398287,0.001,0.002,"3D","yes","Fall"
"23",71.3582703098109,-0.0240895575039655,0.297,0.891,"3D","no","Fall"
"24",95.1443604130812,-0.0517147724805559,0.18,0.72,"3D","no","Fall"
"25",118.930450516352,-0.140374598278269,0.049,0.245,"3D","no","Fall"
"26",142.716540619622,-0.0536255211292899,0.186,1.116,"3D","no","Fall"
"27",166.502630722892,-0.0489002199129038,0.174,1.218,"3D","no","Fall"
"28",190.288720826162,0.0407164410861269,0.259,2.072,"3D","no","Fall"
"29",214.074810929433,0.0300853592511885,0.287,2.583,"3D","no","Fall"
"30",238.860901032703,-0.128030669393759,0.046,0.46,"3D","no","Fall"
"31",3.21833333333333,0.031595615216269,0.208,0.208,"Depth|2D","no","Summer"
"32",6.43666666666667,0.0395276905110284,0.131,0.262,"Depth|2D","no","Summer"
"33",9.655,0.091248144781796,0.005,0.015,"Depth|2D","yes","Summer"
"34",12.8733333333333,-0.0448040845544894,0.102,0.408,"Depth|2D","no","Summer"
"35",16.0916666666667,-0.00231351324304461,0.5,2.5,"Depth|2D","no","Summer"
"36",19.31,-0.040685361333584,0.217,1.302,"Depth|2D","no","Summer"
"37",22.5283333333333,-0.107910809908047,0.001,0.007,"Depth|2D","yes","Summer"
"38",25.7466666666667,-0.09860355927816,0.005,0.04,"Depth|2D","yes","Summer"
"39",28.965,-0.0779770084572435,0.009,0.081,"Depth|2D","no","Summer"
"40",32.1833333333333,-0.103576813902628,0.005,0.05,"Depth|2D","no","Summer"
"41",35.4016666666667,0.0600039207603282,0.058,0.638,"Depth|2D","no","Summer"
"42",39.62,0.0795757998202428,0.01,0.12,"Depth|2D","no","Summer"
"43",77.107099603433,-0.0544614987398572,0.065,0.065,"2D|Depth","no","Summer"
"44",154.214199206866,0.0461457626042885,0.101,0.202,"2D|Depth","no","Summer"
"45",231.321298810299,0.0390582650875621,0.065,0.195,"2D|Depth","no","Summer"
"46",308.428398413732,0.0461601779841157,0.135,0.54,"2D|Depth","no","Summer"
"47",385.535498017165,-0.0234948162448228,0.338,1.69,"2D|Depth","no","Summer"
"48",462.642597620598,-0.0617135996459053,0.103,0.618,"2D|Depth","no","Summer"
"49",539.749697224031,-0.0746627874621735,0.018,0.126,"2D|Depth","no","Summer"
"50",616.856796827464,NA,NA,NA,"2D|Depth",NA,"Summer"
"51",693.963896430897,-0.039049088301398,0.158,1.422,"2D|Depth","no","Summer"
"52",771.07099603433,-0.0228543936782872,0.305,3.05,"2D|Depth","no","Summer"
"53",848.178095637763,0.0377353950139647,0.162,1.782,"2D|Depth","no","Summer"
"54",926.285195241196,0.116158532345642,0.002,0.024,"2D|Depth","yes","Summer"
"55",77.1725081901894,0.28578805300564,0.001,0.001,"3D","yes","Summer"
"56",154.345016380379,0.220936556176411,0.001,0.002,"3D","yes","Summer"
"57",231.517524570568,0.18346781700767,0.001,0.003,"3D","yes","Summer"
"58",308.690032760758,0.0859201872845623,0.017,0.068,"3D","no","Summer"
"59",385.862540950947,-0.00496915763118486,0.475,2.375,"3D","no","Summer"
"60",463.035049141136,-0.154604354090487,0.001,0.006,"3D","yes","Summer"
"61",540.207557331326,-0.212896447617176,0.001,0.007,"3D","yes","Summer"
"62",617.380065521515,NA,NA,NA,"3D",NA,"Summer"
"63",694.552573711705,-0.268170958397194,0.001,0.009,"3D","yes","Summer"
"64",771.725081901894,-0.222797560286922,0.001,0.01,"3D","yes","Summer"
"65",848.897590092084,-0.233896972880847,0.001,0.011,"3D","yes","Summer"
"66",927.070098282273,-0.298033164972257,0.001,0.012,"3D","yes","Summer"
"67",2.85333333333333,0.179243378793614,0.001,0.001,"Depth|2D","yes","Spring"
"68",5.70666666666667,-0.0700865546846644,0.013,0.026,"Depth|2D","yes","Spring"
"69",8.56,0.11802584468859,0.001,0.003,"Depth|2D","yes","Spring"
"70",11.4133333333333,-0.156909935796763,0.001,0.004,"Depth|2D","yes","Spring"
"71",14.2666666666667,-0.140156162434836,0.001,0.005,"Depth|2D","yes","Spring"
"72",17.12,-0.127119576706446,0.002,0.012,"Depth|2D","yes","Spring"
"73",19.9733333333333,-0.0171240904354269,0.266,1.862,"Depth|2D","no","Spring"
"74",22.8266666666667,0.0895926412051045,0.002,0.016,"Depth|2D","yes","Spring"
"75",25.68,0.04536274262766,0.07,0.63,"Depth|2D","no","Spring"
"76",28.5333333333333,0.056829260638772,0.041,0.41,"Depth|2D","no","Spring"
"77",31.3866666666667,0.0583288512881323,0.02,0.22,"Depth|2D","no","Spring"
"78",35.24,0.0751340804587125,0.004,0.048,"Depth|2D","yes","Spring"
"79",73.2079403584048,0.0296729201665057,0.177,0.177,"2D|Depth","no","Spring"
"80",146.41588071681,0.0802928795832702,0.018,0.036,"2D|Depth","yes","Spring"
"81",219.623821075214,-0.0365634762459366,0.095,0.285,"2D|Depth","no","Spring"
"82",292.831761433619,0.0517852606450947,0.03,0.12,"2D|Depth","no","Spring"
"83",366.039701792024,-0.136850424708558,0.002,0.01,"2D|Depth","yes","Spring"
"84",439.247642150429,-0.180099297319935,0.001,0.006,"2D|Depth","yes","Spring"
"85",512.455582508834,0.0739903179936223,0.008,0.056,"2D|Depth","no","Spring"
"86",585.663522867238,NA,NA,NA,"2D|Depth",NA,"Spring"
"87",658.871463225643,0.0637164420066029,0.027,0.243,"2D|Depth","no","Spring"
"88",732.079403584048,0.0689774321294863,0.024,0.24,"2D|Depth","no","Spring"
"89",805.287343942453,0.0326400696392541,0.082,0.902,"2D|Depth","no","Spring"
"90",879.495284300858,0.113550006511696,0.001,0.012,"2D|Depth","yes","Spring"
"91",73.2594791666563,0.246602389462386,0.001,0.001,"3D","yes","Spring"
"92",146.518958333313,0.190473462909297,0.001,0.002,"3D","yes","Spring"
"93",219.778437499969,0.0208981301421483,0.255,0.765,"3D","no","Spring"
"94",293.037916666625,0.0407033561149581,0.077,0.308,"3D","no","Spring"
"95",366.297395833282,-0.175309677171873,0.001,0.005,"3D","yes","Spring"
"96",439.556874999938,-0.300456861865726,0.001,0.006,"3D","yes","Spring"
"97",512.816354166594,-0.0369422235433318,0.153,1.071,"3D","no","Spring"
"98",586.075833333251,NA,NA,NA,"3D",NA,"Spring"
"99",659.335312499907,-0.074176437985642,0.031,0.279,"3D","no","Spring"
"100",732.594791666563,-0.0819203039453026,0.023,0.23,"3D","no","Spring"
"101",805.85427083322,-0.0587549644680437,0.012,0.132,"3D","no","Spring"
