"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",5.03555555555555,-0.0598677404995935,0.119,0.119,"Depth|2D","no"
"2",9.98111111111111,0.151157003092533,0.025,0.05,"Depth|2D","no"
"3",14.9266666666667,0.0250708423499498,0.367,1.101,"Depth|2D","no"
"4",19.8722222222222,0.0746771962074322,0.119,0.476,"Depth|2D","no"
"5",24.8177777777778,-0.0356934276055769,0.307,1.535,"Depth|2D","no"
"6",29.7633333333333,-0.0191267078461529,0.435,2.61,"Depth|2D","no"
"7",34.7088888888889,-0.102596356650976,0.109,0.763,"Depth|2D","no"
"8",39.6544444444444,-0.0173788694888337,0.455,3.64,"Depth|2D","no"
"9",45.6,-0.0894436289950905,0.184,1.656,"Depth|2D","no"
"10",13716.3462493029,0.0982687864574826,0.106,0.106,"2D|Depth","no"
"11",27228.614713543,-0.134029909444146,0.041,0.082,"2D|Depth","no"
"12",40740.8831777831,0.0617191207759471,0.259,0.777,"2D|Depth","no"
"13",54253.1516420233,-0.137740018218915,0.074,0.296,"2D|Depth","no"
"14",67765.4201062634,-0.103701899413922,0.147,0.735,"2D|Depth","no"
"15",81277.6885705035,-0.11094509833287,0.089,0.534,"2D|Depth","no"
"16",94789.9570347436,0.289374614514701,0.005,0.035,"2D|Depth","yes"
"17",108302.225498984,-0.0979468194516836,0.143,1.144,"2D|Depth","no"
"18",121815.493963224,0.170819565996133,0.057,0.513,"2D|Depth","no"
"19",13717.0006447206,0.098624910467204,0.104,0.104,"3D","no"
"20",27229.1873132187,-0.144784841999272,0.035,0.07,"3D","no"
"21",40741.3739817167,0.0629360656599015,0.278,0.834,"3D","no"
"22",54253.5606502147,-0.140379210790931,0.054,0.216,"3D","no"
"23",67765.7473187127,-0.0990705398749641,0.154,0.77,"3D","no"
"24",81277.9339872107,-0.100941774338241,0.106,0.636,"3D","no"
"25",94790.1206557087,0.285976205407006,0.011,0.077,"3D","no"
"26",108302.307324207,-0.0904158581862051,0.178,1.424,"3D","no"
"27",121815.493992705,0.168774328964358,0.05,0.45,"3D","no"
