"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",3.46153846153846,0.0186691939832977,0.276,0.276,"Depth|2D","no"
"2",6.92307692307692,0.0605769229262733,0.014,0.028,"Depth|2D","yes"
"3",10.3846153846154,0.0260763125426292,0.159,0.477,"Depth|2D","no"
"4",13.8461538461538,0.0879776889260384,0.002,0.008,"Depth|2D","yes"
"5",17.3076923076923,0.0506625763013915,0.054,0.27,"Depth|2D","no"
"6",20.7692307692308,-0.0129296070248482,0.302,1.812,"Depth|2D","no"
"7",24.2307692307692,0.0120187803915974,0.282,1.974,"Depth|2D","no"
"8",27.6923076923077,-0.129534195807965,0.001,0.008,"Depth|2D","yes"
"9",31.1538461538462,-0.0933683868307016,0.001,0.009,"Depth|2D","yes"
"10",34.6153846153846,-0.0750596984260682,0.016,0.16,"Depth|2D","no"
"11",38.0769230769231,-0.0624454322450958,0.027,0.297,"Depth|2D","no"
"12",41.5384615384615,-0.0210962459455621,0.223,2.676,"Depth|2D","no"
"13",46,-0.043675088484722,0.075,0.975,"Depth|2D","no"
"14",2010.95524301661,0.220687856484237,0.005,0.005,"2D|Depth","yes"
"15",4021.91048603322,0.0039149068544645,0.469,0.938,"2D|Depth","no"
"16",6032.86572904983,0.00174963705657534,0.474,1.422,"2D|Depth","no"
"17",8043.82097206644,-0.0122636400357599,0.415,1.66,"2D|Depth","no"
"18",10054.776215083,-0.00452509246740614,0.406,2.03,"2D|Depth","no"
"19",12065.7314580997,-0.0176563873277069,0.333,1.998,"2D|Depth","no"
"20",14076.6867011163,-0.105026250006673,0.031,0.217,"2D|Depth","no"
"21",16087.6419441329,-0.137926879604019,0.019,0.152,"2D|Depth","no"
"22",18098.5971871495,-0.0551257336507661,0.124,1.116,"2D|Depth","no"
"23",20109.5524301661,-0.0321892623986388,0.089,0.89,"2D|Depth","no"
"24",22120.5076731827,-0.00337592145002431,0.454,4.994,"2D|Depth","no"
"25",24131.4629161993,0.0140642071728453,0.32,3.84,"2D|Depth","no"
"26",26143.4181592159,0.0268594198115658,0.151,1.963,"2D|Depth","no"
"27",2011.87859205857,0.386071254791314,0.001,0.001,"3D","yes"
"28",4022.75718411714,0.054315603431121,0.133,0.266,"3D","no"
"29",6033.63577617571,-0.0507951384079166,0.099,0.297,"3D","no"
"30",8044.51436823428,-0.140187160336896,0.03,0.12,"3D","no"
"31",10055.3929602929,-0.0761012589469616,0.08,0.4,"3D","no"
"32",12066.2715523514,-0.10872593040397,0.022,0.132,"3D","no"
"33",14077.15014441,-0.17055800221126,0.005,0.035,"3D","yes"
"34",16088.0287364686,-0.213185077488563,0.001,0.008,"3D","yes"
"35",18098.9073285271,-0.057038486599614,0.122,1.098,"3D","no"
"36",20109.7859205857,-0.0192712411741557,0.176,1.76,"3D","no"
"37",22120.6645126443,-0.0113261743558412,0.353,3.883,"3D","no"
"38",24131.5431047029,0.00831834317728958,0.374,4.488,"3D","no"
"39",26143.4216967614,0.024662721032727,0.182,2.366,"3D","no"
