"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",4.622,0.0970840527189478,0.029,0.029,"Depth|2D","yes"
"2",9.154,0.0385851421399471,0.237,0.474,"Depth|2D","no"
"3",13.686,0.129044719146147,0.018,0.054,"Depth|2D","no"
"4",18.218,0.0259142181744145,0.332,1.328,"Depth|2D","no"
"5",22.75,0.0336669734691214,0.306,1.53,"Depth|2D","no"
"6",27.282,-0.0634426089601301,0.124,0.744,"Depth|2D","no"
"7",31.814,0.0140013601903681,0.421,2.947,"Depth|2D","no"
"8",36.346,-0.136036918707548,0.024,0.192,"Depth|2D","no"
"9",40.878,-0.135608557611204,0.023,0.207,"Depth|2D","no"
"10",46.41,-0.142975954736872,0.029,0.29,"Depth|2D","no"
"11",12365.1194028789,0.0189339075825486,0.272,0.272,"2D|Depth","no"
"12",24526.161020695,0.015795468907413,0.382,0.764,"2D|Depth","no"
"13",36687.2026385111,-0.0355096774072475,0.212,0.636,"2D|Depth","no"
"14",48848.2442563272,0.0622991884513035,0.15,0.6,"2D|Depth","no"
"15",61009.2858741433,-0.0797255910875567,0.099,0.495,"2D|Depth","no"
"16",73170.3274919594,0.0450897505144075,0.144,0.864,"2D|Depth","no"
"17",85331.3691097756,-0.0837268732560168,0.09,0.63,"2D|Depth","no"
"18",97492.4107275917,-0.000491841004904983,0.54,4.32,"2D|Depth","no"
"19",109653.452345408,NA,NA,NA,"2D|Depth",NA
"20",121815.493963224,-0.00138779980950563,0.512,5.12,"2D|Depth","no"
"21",12365.7819778708,-0.00852994429595845,0.466,0.466,"3D","no"
"22",24526.7499795191,0.00361665395098236,0.496,0.992,"3D","no"
"23",36687.7179811673,-0.0182684866820154,0.326,0.978,"3D","no"
"24",48848.6859828155,0.0675313373557929,0.118,0.472,"3D","no"
"25",61009.6539844637,-0.0802195880968252,0.105,0.525,"3D","no"
"26",73170.6219861119,0.0370269758972204,0.196,1.176,"3D","no"
"27",85331.5899877601,-0.0583893126097966,0.181,1.267,"3D","no"
"28",97492.5579894083,0.00378693688730162,0.437,3.496,"3D","no"
"29",109653.525991057,NA,NA,NA,"3D",NA
"30",121815.493992705,0.00510007887210632,0.464,4.64,"3D","no"
