"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif"
"1",5.12555555555555,0.0545475088696539,0.046,0.046,"Depth|2D","yes"
"2",10.1611111111111,0.0662994720187548,0.147,0.294,"Depth|2D","no"
"3",15.1966666666667,-0.0606455726258602,0.171,0.513,"Depth|2D","no"
"4",20.2322222222222,-0.0623928543378155,0.198,0.792,"Depth|2D","no"
"5",25.2677777777778,0.0145906362878813,0.451,2.255,"Depth|2D","no"
"6",30.3033333333333,-0.0350088780463416,0.255,1.53,"Depth|2D","no"
"7",35.3388888888889,-0.00684120976106385,0.464,3.248,"Depth|2D","no"
"8",40.3744444444444,0.019425859997193,0.475,3.8,"Depth|2D","no"
"9",46.41,-0.00179030327869945,0.46,4.14,"Depth|2D","no"
"10",13716.3462493029,-0.00414866683386947,0.452,0.452,"2D|Depth","no"
"11",27228.614713543,0.274405496232179,0.001,0.002,"2D|Depth","yes"
"12",40740.8831777831,-0.139553137370982,0.105,0.315,"2D|Depth","no"
"13",54253.1516420233,0.0104368224195698,0.452,1.808,"2D|Depth","no"
"14",67765.4201062634,0.104030811010255,0.194,0.97,"2D|Depth","no"
"15",81277.6885705035,-0.0728836210834438,0.188,1.128,"2D|Depth","no"
"16",94789.9570347436,0.0778941079402985,0.241,1.687,"2D|Depth","no"
"17",108302.225498984,-0.178816321272954,0.043,0.344,"2D|Depth","no"
"18",121815.493963224,-0.182865911981334,0.029,0.261,"2D|Depth","no"
"19",13717.0006447206,-0.00594459410457095,0.425,0.425,"3D","no"
"20",27229.1873132187,0.273428853959246,0.001,0.002,"3D","yes"
"21",40741.3739817167,-0.138446114049104,0.105,0.315,"3D","no"
"22",54253.5606502147,0.0113533244346554,0.421,1.684,"3D","no"
"23",67765.7473187127,0.104105397017986,0.166,0.83,"3D","no"
"24",81277.9339872107,-0.0723957804008299,0.166,0.996,"3D","no"
"25",94790.1206557087,0.0778399805018164,0.249,1.743,"3D","no"
"26",108302.307324207,-0.178388964149681,0.043,0.344,"3D","no"
"27",121815.493992705,-0.182585374186182,0.041,0.369,"3D","no"
