"","X","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo","locus","project"
"1","Complete_model",3,0.117349103538182,4.66959427229874,0.001,0.15225484337484,0.119649260427719,"Complete","Hellinger","COI","BDA"
"2","Residual",78,0.653392246536817,NA,NA,NA,NA,"Complete","Hellinger","COI","BDA"
"3","Longitude",1,0.0179868230831489,2.14721280811305,0.004,0.0233370417733501,0.0127841727097352,"pRDA","Hellinger","COI","BDA"
"4","Latitude",1,0.0116147369783258,1.38653234578652,0.097,0.0150695651364691,0.00430739286685722,"pRDA","Hellinger","COI","BDA"
"5","Depth_m",1,0.0578381858894493,6.90454856678934,0.001,0.0750422770022922,0.0657984012356126,"pRDA","Hellinger","COI","BDA"
"6","Residual1",78,0.653392246536817,NA,NA,NA,NA,"pRDA","Hellinger","COI","BDA"
"7","Complete_model",3,17.9350696663427,7.73856551880041,0.001,0.229368540120302,0.199728868586468,"Complete","Hellinger-Mahalanobis","COI","BDA"
"8","Residual",78,60.2581719043447,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","COI","BDA"
"9","Longitude",1,1.07255860097784,1.38835228869995,0.207,0.0137167686034387,0.00393401424639239,"pRDA","Hellinger-Mahalanobis","COI","BDA"
"10","Latitude",1,0.632816454775288,0.819136756269792,0.474,0.00809298146570992,-0.00183214724925362,"pRDA","Hellinger-Mahalanobis","COI","BDA"
"11","Depth_m",1,9.07846869531623,11.751444424148,0.001,0.116102984259954,0.108912285995477,"pRDA","Hellinger-Mahalanobis","COI","BDA"
"12","Residual1",78,60.2581719043447,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","COI","BDA"
"13","Complete_model",5,0.212942823367908,2.5743764866759,0.001,0.380016742756957,0.232401681508614,"Complete","Hellinger","COI","PPO.Leim.VRoy.2019"
"14","Residual",21,0.347408338591546,NA,NA,NA,NA,"Complete","Hellinger","COI","PPO.Leim.VRoy.2019"
"15","Longitude",1,0.0271380851126661,1.64043209117104,0.048,0.0484304967223921,0.0223452089223096,"pRDA","Hellinger","COI","PPO.Leim.VRoy.2019"
"16","Latitude",1,0.0221963905617048,1.34171851972681,0.12,0.0396115722935018,0.0119228436881664,"pRDA","Hellinger","COI","PPO.Leim.VRoy.2019"
"17","Depth_m",1,0.0309133643415554,1.86863865675923,0.018,0.055167841953707,0.0303075260138636,"pRDA","Hellinger","COI","PPO.Leim.VRoy.2019"
"18","Temperature",1,0.0221651393390674,1.33982945834721,0.134,0.0395558015112511,0.0118569327636882,"pRDA","Hellinger","COI","PPO.Leim.VRoy.2019"
"19","Salinity",1,0.0212139383093904,1.28233163977383,0.16,0.0378582927091799,0.00985078599760403,"pRDA","Hellinger","COI","PPO.Leim.VRoy.2019"
"20","Residual1",21,0.347408338591546,NA,NA,NA,NA,"pRDA","Hellinger","COI","PPO.Leim.VRoy.2019"
"21","Complete_model",5,6.63798128058877,0.922113077437044,0.493,0.18002591186418,-0.0152060138824441,"Complete","Hellinger-Mahalanobis","COI","PPO.Leim.VRoy.2019"
"22","Residual",21,30.234384546375,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","COI","PPO.Leim.VRoy.2019"
"23","Longitude",1,0.738177679415521,0.512718598387497,0.766,0.0200198078658592,-0.0224859549713683,"pRDA","Hellinger-Mahalanobis","COI","PPO.Leim.VRoy.2019"
