"","Df","Variance","F","Pr..F.","R2","adj.R2","model","factor","season","locus"
"biorep",2,12.5551912466201,1.1197522356167,0.217,0.0566730009678606,0.00455532318843221,"~ biorep + Station","biorep","Fall","COI"
"Station",11,81.513854285532,1.32180486182312,0.001,0.378860893154847,0.0893646115503612,"~ biorep + Station","Station","Fall","COI"
"Residual",21,117.730962168525,NA,NA,NA,NA,"~ biorep + Station","Residual","Fall","COI"
"biorep1",2,12.55519124662,1.11975223561669,0.221,0.0566730009678606,0.00455532318843244,"~ biorep + Station + Condition(Transect)","biorep","Fall","COI"
"Station1",9,60.4115341718952,1.19730820002399,0.021,0.284689945946516,0.0493321654700544,"~ biorep + Station + Condition(Transect)","Station","Fall","COI"
"Residual1",21,117.730962168525,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect)","Residual","Fall","COI"
"biorep2",2,12.8222988208649,1.07966648196864,0.273,0.0592266633270045,0.00290414445639786,"~ biorep + Transect","biorep","Fall","COI"
"Transect",2,21.1023201136368,1.77686295076763,0.001,0.094170947208331,0.040032446080307,"~ biorep + Transect","Transect","Fall","COI"
"Residual2",30,178.14249634042,NA,NA,NA,NA,"~ biorep + Transect","Residual","Fall","COI"
"biorep3",2,5.01075456231307,1.17917272722862,0.275,0.016960893258584,-0.00774932288975028,"~ biorep + Station","biorep","Summer","COI"
"Station2",27,124.987571341386,2.17874977947684,0.001,0.573163244290706,0.290402693148046,"~ biorep + Station","Station","Summer","COI"
"Residual3",38,80.7382451150346,NA,NA,NA,NA,"~ biorep + Station","Residual","Summer","COI"
"biorep11",2,5.01075456231315,1.17917272722864,0.233,0.016960893258584,-0.00774932288975017,"~ biorep + Station + Condition(Transect)","biorep","Summer","COI"
"Station11",21,60.2524393632075,1.35039129788209,0.004,0.301419069035974,0.0848876882084967,"~ biorep + Station + Condition(Transect)","Station","Summer","COI"
"Residual11",38,80.7382451150346,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect)","Residual","Summer","COI"
"biorep21",2,5.40976277771307,1.13190458315112,0.258,0.0223680211394316,-0.00192574957360991,"~ biorep + Transect","biorep","Summer","COI"
"Transect1",6,64.7351319781788,4.51492333322911,0.001,0.271744175254732,0.205515004939549,"~ biorep + Transect","Transect","Summer","COI"
"Residual21",59,140.990684478242,NA,NA,NA,NA,"~ biorep + Transect","Residual","Summer","COI"
"biorep4",2,4.32389694108272,0.879124720570475,0.593,0.0257026424800073,-0.00349653804393224,"~ biorep + Station","biorep","Spring","COI"
"Station3",24,111.497127770828,1.88911150118276,0.001,0.432712727232359,0.10092014949338,"~ biorep + Station","Station","Spring","COI"
"Residual4",39,95.9090199356462,NA,NA,NA,NA,"~ biorep + Station","Residual","Spring","COI"
"biorep12",2,4.32389694108281,0.879124720570492,0.624,0.0257026424800074,-0.00349653804393213,"~ biorep + Station + Condition(Transect)","biorep","Spring","COI"
"Station12",18,48.6023098242148,1.09796768531042,0.204,0.150514374966345,-0.114786561687769,"~ biorep + Station + Condition(Transect)","Station","Spring","COI"
"Residual12",39,95.9090199356462,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect)","Residual","Spring","COI"
"biorep22",2,4.6951322845411,0.925956949754595,0.526,0.0229613939950347,-0.00155874725337135,"~ biorep + Transect","biorep","Spring","COI"
"Transect2",6,62.894817946613,4.1346292466183,0.001,0.282198352266013,0.215706711181149,"~ biorep + Transect","Transect","Spring","COI"
"Residual22",57,144.511329759861,NA,NA,NA,NA,"~ biorep + Transect","Residual","Spring","COI"
"biorep5",2,2.16657692317774,0.34560510411036,0.997,0.00345643108809062,-0.0541568220018822,"~ biorep + Station","biorep","Fall","MiFishU"
"Station4",11,57.0547282423019,1.65475989363047,0.035,0.792697022574361,0.668012130228279,"~ biorep + Station","Station","Fall","MiFishU"
"Residual5",11,34.4791582524559,NA,NA,NA,NA,"~ biorep + Station","Residual","Fall","MiFishU"
"biorep13",2,2.16657692317781,0.34560510411037,0.989,0.00345643108809063,-0.0541568220018819,"~ biorep + Station + Condition(Transect)","biorep","Fall","MiFishU"
"Station13",9,46.427858747892,1.64578149722742,0.043,0.709266342467793,0.674046178730158,"~ biorep + Station + Condition(Transect)","Station","Fall","MiFishU"
"Residual13",11,34.4791582524559,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect)","Residual","Fall","MiFishU"
"biorep23",2,3.37306507067936,0.416906369278805,0.986,0.0266127066778208,-0.0680172922423298,"~ biorep + Transect","biorep","Fall","MiFishU"
"Transect3",2,10.62686949441,1.31346697584516,0.192,0.0834306801065679,-0.00603404850187839,"~ biorep + Transect","Transect","Fall","MiFishU"
"Residual23",20,80.9070170003478,NA,NA,NA,NA,"~ biorep + Transect","Residual","Fall","MiFishU"
"biorep6",2,1.58488635348921,0.791842507276077,0.794,0.0318900025679573,0.0227106365025177,"~ biorep + Station","biorep","Summer","MiFishU"
"Station5",27,40.4039308315916,1.49530758434888,0.001,0.527205121084655,0.309890433616655,"~ biorep + Station","Station","Summer","MiFishU"
"Residual6",53,53.0402043102504,NA,NA,NA,NA,"~ biorep + Station","Residual","Summer","MiFishU"
"biorep14",2,1.5848863534892,0.79184250727607,0.857,0.0318900025679573,0.0227106365025179,"~ biorep + Station + Condition(Transect)","biorep","Summer","MiFishU"
"Station14",21,22.4478404993568,1.06813452885371,0.19,0.161650886545473,-0.0146827964064655,"~ biorep + Station + Condition(Transect)","Station","Summer","MiFishU"
"Residual14",53,53.0402043102504,NA,NA,NA,NA,"~ biorep + Station + Condition(Transect)","Residual","Summer","MiFishU"
"biorep24",2,1.56678367161558,0.76794936199485,0.861,0.0307040856869551,0.0155421765290689,"~ biorep + Transect","biorep","Summer","MiFishU"
"Transect4",6,17.9560903322348,2.933689009822,0.001,0.365554234539181,0.32457323002312,"~ biorep + Transect","Transect","Summer","MiFishU"
