"","ESV_COI_1","ESV_COI_2","ESV_COI_4","ESV_COI_5","ESV_COI_7","ESV_COI_8","ESV_COI_9","ESV_COI_10","ESV_COI_11","ESV_COI_12","ESV_COI_14","ESV_COI_15","ESV_COI_16","ESV_COI_17","ESV_COI_18","ESV_COI_19","ESV_COI_20","ESV_COI_21","ESV_COI_22","ESV_COI_24","ESV_COI_25","ESV_COI_26","ESV_COI_27","ESV_COI_28","ESV_COI_29","ESV_COI_30","ESV_COI_31","ESV_COI_33","ESV_COI_37","ESV_COI_38","ESV_COI_39","ESV_COI_44","ESV_COI_48","ESV_COI_49","ESV_COI_50","ESV_COI_51","ESV_COI_52","ESV_COI_53","ESV_COI_54","ESV_COI_55","ESV_COI_56","ESV_COI_57","ESV_COI_58","ESV_COI_59","ESV_COI_60","ESV_COI_61","ESV_COI_64","ESV_COI_66","ESV_COI_69","ESV_COI_70","ESV_COI_71","ESV_COI_72","ESV_COI_73","ESV_COI_75","ESV_COI_76","ESV_COI_78","ESV_COI_79","ESV_COI_83","ESV_COI_84","ESV_COI_85","ESV_COI_88","ESV_COI_90","ESV_COI_91","ESV_COI_95","ESV_COI_97","ESV_COI_98","ESV_COI_99","ESV_COI_102","ESV_COI_104","ESV_COI_107","ESV_COI_112","ESV_COI_113","ESV_COI_114","ESV_COI_115","ESV_COI_117","ESV_COI_118","ESV_COI_119","ESV_COI_122","ESV_COI_123","ESV_COI_124","ESV_COI_125","ESV_COI_127","ESV_COI_129","ESV_COI_130","ESV_COI_131","ESV_COI_133","ESV_COI_134","ESV_COI_136","ESV_COI_139","ESV_COI_140","ESV_COI_142","ESV_COI_143","ESV_COI_147","ESV_COI_149","ESV_COI_150","ESV_COI_155","ESV_COI_156","ESV_COI_157","ESV_COI_159","ESV_COI_160","ESV_COI_161","ESV_COI_162","ESV_COI_163","ESV_COI_167","ESV_COI_172","ESV_COI_173","ESV_COI_174","ESV_COI_175","ESV_COI_176","ESV_COI_179","ESV_COI_180","ESV_COI_181","ESV_COI_184","ESV_COI_187","ESV_COI_188","ESV_COI_190","ESV_COI_196","ESV_COI_200","ESV_COI_206","ESV_COI_207","ESV_COI_208","ESV_COI_216","ESV_COI_218","ESV_COI_222","ESV_COI_224","ESV_COI_225","ESV_COI_228","ESV_COI_229","ESV_COI_236","ESV_COI_238","ESV_COI_242","ESV_COI_243","ESV_COI_245","ESV_COI_248","ESV_COI_254","ESV_COI_255","ESV_COI_257","ESV_COI_264","ESV_COI_265","ESV_COI_271","ESV_COI_272","ESV_COI_274","ESV_COI_275","ESV_COI_278","ESV_COI_280","ESV_COI_281","ESV_COI_282","ESV_COI_286","ESV_COI_287","ESV_COI_289","ESV_COI_292","ESV_COI_298","ESV_COI_299","ESV_COI_301","ESV_COI_303","ESV_COI_304","ESV_COI_309","ESV_COI_310","ESV_COI_311","ESV_COI_312","ESV_COI_316","ESV_COI_321","ESV_COI_329","ESV_COI_330","ESV_COI_331","ESV_COI_335","ESV_COI_341","ESV_COI_344","ESV_COI_348","ESV_COI_349","ESV_COI_354","ESV_COI_355","ESV_COI_356","ESV_COI_359","ESV_COI_362","ESV_COI_363","ESV_COI_376","ESV_COI_380","ESV_COI_381","ESV_COI_382","ESV_COI_388","ESV_COI_389","ESV_COI_390","ESV_COI_398","ESV_COI_402","ESV_COI_403","ESV_COI_413","ESV_COI_417","ESV_COI_418","ESV_COI_419","ESV_COI_420","ESV_COI_421","ESV_COI_432","ESV_COI_433","ESV_COI_434","ESV_COI_443","ESV_COI_444","ESV_COI_445","ESV_COI_446","ESV_COI_458","ESV_COI_459","ESV_COI_469","ESV_COI_470","ESV_COI_471","ESV_COI_472","ESV_COI_473","ESV_COI_474","ESV_COI_475","ESV_COI_476","ESV_COI_477","ESV_COI_484","ESV_COI_503","ESV_COI_504","ESV_COI_505","ESV_COI_514","ESV_COI_521","ESV_COI_522","ESV_COI_523","ESV_COI_536","ESV_COI_540","ESV_COI_541","ESV_COI_542","ESV_COI_557","ESV_COI_558","ESV_COI_559","ESV_COI_560","ESV_COI_561","ESV_COI_562","ESV_COI_579","ESV_COI_586","ESV_COI_587","ESV_COI_588","ESV_COI_589","ESV_COI_590","ESV_COI_591","ESV_COI_613","ESV_COI_614","ESV_COI_639","ESV_COI_655","ESV_COI_656","ESV_COI_657","ESV_COI_658","ESV_COI_659","ESV_COI_698","ESV_COI_699","ESV_COI_700","ESV_COI_701","ESV_COI_702","ESV_COI_703","ESV_COI_737","ESV_COI_738","ESV_COI_739","ESV_COI_740","ESV_COI_741","ESV_COI_742","ESV_COI_743","ESV_COI_744","ESV_COI_745","ESV_COI_777","ESV_COI_791","ESV_COI_792","ESV_COI_793","ESV_COI_794","ESV_COI_795","ESV_COI_796","ESV_COI_851","ESV_COI_852","ESV_COI_853","ESV_COI_854","ESV_COI_855","ESV_COI_856","ESV_COI_857","ESV_COI_858","ESV_COI_859","ESV_COI_860","ESV_COI_861","ESV_COI_912","ESV_COI_913","ESV_COI_914","ESV_COI_915","ESV_COI_916","ESV_COI_917","ESV_COI_918","ESV_COI_981","ESV_COI_982","ESV_COI_983","ESV_COI_984","ESV_COI_985","ESV_COI_986","ESV_COI_987","ESV_COI_988","ESV_COI_989","ESV_COI_990","ESV_COI_991","ESV_COI_992","ESV_COI_993","ESV_COI_1042","ESV_COI_1043","ESV_COI_1044","ESV_COI_1045","ESV_COI_1046","ESV_COI_1047","ESV_COI_1076","ESV_COI_1077"
"BlankpcrCES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NEG_PCR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEG_PCR8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POS_PCR1",30,494,32,23,0,29,29,15,0,10,7,89,0,14,0,0,0,20,14,0,0,16,0,0,28,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,23,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
