"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif","group","Locus"
"1",0.761,0.289168039237273,0.001,0.001,"Depth|2D","yes","Fall2020","COI"
"2",1.522,-0.103754807733812,0.026,0.052,"Depth|2D","no","Fall2020","COI"
"3",2.283,-0.0371851616495859,0.202,0.606,"Depth|2D","no","Fall2020","COI"
"4",3.044,-0.171175282491115,0.017,0.068,"Depth|2D","no","Fall2020","COI"
"5",3.805,-0.0876210099449443,0.169,0.845,"Depth|2D","no","Fall2020","COI"
"6",4.566,-0.167979400850266,0.001,0.006,"Depth|2D","yes","Fall2020","COI"
"7",5.327,-0.0687822614823205,0.088,0.616,"Depth|2D","no","Fall2020","COI"
"8",6.088,-0.048333282963544,0.115,0.92,"Depth|2D","no","Fall2020","COI"
"9",6.849,0.147715332347879,0.013,0.117,"Depth|2D","no","Fall2020","COI"
"10",8.61,0.211211037278613,0.004,0.04,"Depth|2D","yes","Fall2020","COI"
"11",23.775521054246,0.384195084153431,0.001,0.001,"2D|Depth","yes","Fall2020","COI"
"12",47.551042108492,0.189402276635872,0.001,0.002,"2D|Depth","yes","Fall2020","COI"
"13",71.3265631627379,-0.0672067965711251,0.096,0.288,"2D|Depth","no","Fall2020","COI"
"14",95.1020842169839,-0.294342392281474,0.001,0.004,"2D|Depth","yes","Fall2020","COI"
"15",118.87760527123,-0.449087611013631,0.001,0.005,"2D|Depth","yes","Fall2020","COI"
"16",142.653126325476,-0.318556304979361,0.001,0.006,"2D|Depth","yes","Fall2020","COI"
"17",166.428647379722,-0.0601579370828128,0.117,0.819,"2D|Depth","no","Fall2020","COI"
"18",190.204168433968,0.200595059857769,0.001,0.008,"2D|Depth","yes","Fall2020","COI"
"19",213.979689488214,0.209450749276935,0.001,0.009,"2D|Depth","yes","Fall2020","COI"
"20",238.75521054246,0.168035083831097,0.003,0.03,"2D|Depth","yes","Fall2020","COI"
"21",23.7860901032703,0.311940303077624,0.001,0.001,"3D","yes","Fall2020","COI"
"22",47.5721802065406,0.164991189901228,0.002,0.004,"3D","yes","Fall2020","COI"
"23",71.3582703098109,-0.0925136296991148,0.031,0.093,"3D","no","Fall2020","COI"
"24",95.1443604130812,-0.305440811756486,0.001,0.004,"3D","yes","Fall2020","COI"
