"","Gadus","Ammodytidae","Myoxocephalus","Ammodytes americanus","Gasterosteus aculeatus","Ammodytes dubius","Gymnocanthus tricuspis","Microgadus tomcod","Pleuronectidae","Sebastes fasciatus","Mallotus villosus","Clupea harengus","Hemitripterus americanus","Bos","Artediellus uncinatus","Stichaeus punctatus","Pholis gunnellus","Urophycis tenuis","Liparis miostomus","Scomber scombrus","Anarhichas","Catostomus commersonii","Halichoerus grypus","Homo sapiens","Phocoena phocoena","Gadus macrocephalus","Limanda","Stichaeidae","Canis lupus","Acipenser oxyrinchus","Anisarchus","Megaptera novaeangliae","Cyclopterus lumpus","Enchelyopus cimbrius","Eumicrotremus spinosus","Chrosomus neogaeus","Lagenorhynchus acutus","Phoca vitulina","Phasianidae","Balaenoptera musculus","NA","Sus scrofa","Triglops murrayi","Hippoglossus","Gadus morhua","Liparis","Trachinotus blochii","Askoldia variegata","Opisthocentrus ocellatus","Balaenoptera physalus","Pseudopleuronectes","Zoarces americanus","Lycodes","Myoxocephalus aenaeas","Thunnus thynnus","Gymnelus hemifasciatus","Hippoglossoides robustus","Balaenoptera acutorostrata","Melanostigma atlanticum","Asterias rubens","Ammodytes hexapterus","Artediellus","Phalacrocorax auritus","Odocoileus virginianus","Pseudoalteromonas prydzensis"
"BDA20_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_002",0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_003",28630,0,18215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_004",172529,0,184764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64992,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_005",536399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_007",197709,0,18090,0,0,0,117,0,0,0,0,0,312629,0,0,0,0,0,0,45311,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_008",286398,0,163031,0,0,0,0,0,0,0,0,0,0,0,0,85187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_010",43543,0,5751,0,0,0,0,0,0,0,0,0,1740,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
